	GSM2358163	GSM2358164	GSM2358165	GSM2358166	GSM2358167	GSM2358168	GSM2358169	GSM2358170	GSM2358171	GSM2358172	GSM2358173	GSM2358174	GSM2358175	GSM2358176	GSM2358177	GSM2358178	GSM2358179
TSPAN6	1348	1302	947	1095	1154	1530	2075	2129	1433	1182	1364	1302	2529	2594	1564	1874	1894
TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	838	700	630	691	605	823	542	530	820	794	1021	1052	656	577	564	1174	867
SCYL3	296	285	223	354	344	438	262	237	274	456	536	528	231	180	222	459	386
C1orf112	51	38	43	29	51	54	42	47	47	36	44	49	72	44	40	74	50
FGR	6	1	3	0	4	0	0	1	2	0	3	0	1	1	2	2	5
CFH	35998	30490	25205	37384	36855	47555	31064	29534	28033	28180	33969	34686	29141	24685	21549	50057	41672
FUCA2	1581	1386	1198	1653	1779	2571	913	872	1394	2117	2316	2618	1666	1387	1657	2924	3092
GCLC	2121	1934	1664	1906	1706	2598	1842	1672	1814	1862	2239	2213	2086	1585	1688	3395	2806
NFYA	402	406	331	371	372	500	365	347	359	370	437	466	416	341	360	464	411
STPG1	49	31	25	41	49	96	33	35	29	33	38	60	64	49	55	43	62
NIPAL3	271	257	217	340	280	384	295	254	180	275	304	305	313	226	227	348	349
LAS1L	617	616	494	421	458	457	453	385	413	399	459	490	806	597	731	454	434
ENPP4	545	450	394	429	435	555	477	464	336	372	472	509	632	515	447	709	644
SEMA3F	33	24	26	23	18	38	38	21	17	40	29	53	32	19	20	52	41
CFTR	24	28	28	36	31	49	4	3	13	36	27	47	6	8	5	24	24
ANKIB1	544	487	465	572	512	725	587	513	380	521	608	539	530	478	396	659	664
CYP51A1	6974	5680	5108	5597	6459	6826	5932	6084	6946	5037	6086	5677	3555	3129	3212	5411	5049
KRIT1	471	443	318	381	413	531	375	398	488	490	610	650	368	358	286	466	410
RAD52	106	106	85	74	61	76	158	142	153	121	130	81	127	133	105	127	109
MYH16	0	1	0	1	1	0	1	2	0	2	1	1	1	0	2	0	0
BAD	159	114	136	191	258	244	58	68	48	134	82	172	50	32	47	187	254
LAP3	2925	2482	2261	2591	2093	2780	1978	1993	2300	2115	2443	2342	2224	1766	2009	4466	3137
CD99	2172	1917	1635	1535	1681	2187	1717	1718	2071	2107	2218	2571	1506	1353	1352	2283	2391
HS3ST1	1	0	1	1	2	0	0	0	0	0	0	0	0	1	2	1	0
AOC1	26	20	23	94	76	86	42	33	17	56	47	51	15	7	9	86	59
WNT16	3	6	2	1	1	0	7	6	5	1	3	0	12	9	6	0	0
HECW1	1	0	0	0	2	8	3	0	6	4	2	0	0	1	1	2	2
MAD1L1	134	79	102	150	144	175	83	69	66	135	101	129	162	102	162	148	162
LASP1	2390	2162	1805	3257	3347	5076	1972	1615	1522	3876	3629	4286	2134	1739	1919	4416	4439
SNX11	367	274	243	275	275	413	241	233	239	261	281	316	268	227	235	312	301
TMEM176A	9324	8284	7735	8165	8994	10354	8174	8320	7073	5433	6077	5760	6197	5226	4182	6109	5251
M6PR	2058	1834	1610	1627	1798	2255	1980	1904	1612	1641	1995	1772	2423	2052	1728	2005	1721
KLHL13	14	21	12	24	11	18	21	19	20	16	13	19	35	22	22	41	43
CYP26B1	4	2	1	41	28	9	4	3	2	86	59	101	5	3	6	6	4
ICA1	256	331	248	325	297	421	136	171	113	227	254	299	16	15	13	32	45
DBNDD1	28	27	39	191	166	331	15	13	13	189	115	331	84	62	54	390	558
ALS2	971	851	764	1162	966	1359	823	827	850	1198	1231	1212	803	755	695	1228	1104
CASP10	295	266	213	290	291	453	244	213	170	325	332	336	317	292	232	352	301
CFLAR	1798	1672	1245	1867	1721	2278	1937	1736	1709	2112	2239	2359	1886	1638	1550	2386	2085
TFPI	5319	4480	3893	5246	6067	6961	3379	3046	4250	5584	6627	6748	3737	3359	2881	5109	4878
NDUFAF7	256	242	168	190	214	235	277	243	267	243	345	335	293	205	243	315	263
RBM5	1302	1057	849	933	938	1025	1209	1149	1614	1581	1911	1694	1078	980	858	1155	958
MTMR7	57	26	44	28	37	38	50	24	66	69	105	70	34	41	27	61	52
SLC7A2	14696	11584	11280	5341	5907	7672	10029	8570	9697	7420	9525	9198	9679	6716	9650	8391	4788
ARF5	704	596	537	755	753	1015	418	459	427	744	658	896	549	419	499	903	837
SARM1	218	203	107	112	108	111	338	226	260	101	180	130	225	256	210	168	87
POLDIP2	3434	3070	2996	2662	2603	3613	2894	2497	2172	1614	1642	1897	3353	2593	3103	2711	2656
PLXND1	65	49	48	82	65	76	33	36	33	150	129	134	99	89	112	330	272
AK2	3800	3404	3019	2665	2446	3158	3028	2685	2774	2911	3145	3104	4384	3639	3697	3615	2906
CD38	13	18	13	13	19	26	53	88	26	94	92	108	20	30	22	48	40
