accession	media	name
GSM2358163	LGLI	BGA0201_372_L10
GSM2358164	LGLI	BGA0201_374_L4.D704
GSM2358165	LGLI	BGA0201_375_L6.D705
GSM2358166	NASH	BGA0201_376_L6.D706
GSM2358167	NASH	BGA0201_377_L1.D707
GSM2358168	NASH	BGA0201_378_L12
GSM2358169	LGLI	BGA0201_300_L1.D702
GSM2358170	LGLI	BGA0201_301_L2.D703
GSM2358171	LGLI	BGA0201_302_L2.D704
GSM2358172	NASH	BGA0201_303_L5.D705
GSM2358173	NASH	BGA0201_304_L5.D706
GSM2358174	NASH	BGA0201_305_L6.D707
GSM2358175	LGLI	BGA0201_444_L8.D703
GSM2358176	LGLI	BGA0201_445_L8.D704
GSM2358177	LGLI	BGA0201_446_L7.D705
GSM2358178	NASH	BGA0201_447_L7.D706
GSM2358179	NASH	BGA0201_448_L3.D707
