name	title	scaffold	media	condition	filename
sample1	PS_HCM_1	LiverChip polystyrene	hepatocyte culture media	PS_HCM	200707Gri_D20_2452
sample2	PS_HCM_2	LiverChip polystyrene	hepatocyte culture media	PS_HCM	200707Gri_D20_2451
sample3	PS_HCM_3	LiverChip polystyrene	hepatocyte culture media	PS_HCM	200707Gri_D20_2450
sample4	PS_eLCM_1	LiverChip polystyrene	enhanced liver culture media	PS_eLCM	200707Gri_D20_2449
sample5	PS_eLCM_2	LiverChip polystyrene	enhanced liver culture media	PS_eLCM	200707Gri_D20_2448
sample6	PS_eLCM_3	LiverChip polystyrene	enhanced liver culture media	PS_eLCM	200707Gri_D20_2447
sample7	PEG_HCM_1	LiverChip PEG	hepatocyte culture media	PEG_HCM	200707Gri_D20_2446
sample8	PEG_HCM_2	LiverChip PEG	hepatocyte culture media	PEG_HCM	200707Gri_D20_2445
sample9	PEG_HCM_3	LiverChip PEG	hepatocyte culture media	PEG_HCM	200707Gri_D20_2460
sample10	PEG_eLCM_1	LiverChip PEG	enhanced liver culture media	PEG_eLCM	200707Gri_D20_2459
sample11	PEG_eLCM_2	LiverChip PEG	enhanced liver culture media	PEG_eLCM	200707Gri_D20_2458
sample12	PEG_eLCM_3	LiverChip PEG	enhanced liver culture media	PEG_eLCM	200707Gri_D20_2457
sample13	Sph_HCM_1	Microwell spheroids	hepatocyte culture media	Sph_HCM	200707Gri_D20_2456
sample14	Sph_HCM_2	Microwell spheroids	hepatocyte culture media	Sph_HCM	200707Gri_D20_2455
sample15	Sph_HCM_3	Microwell spheroids	hepatocyte culture media	Sph_HCM	200707Gri_D20_2454
sample16	Sph_eLCM_1	Microwell spheroids	enhanced liver culture media	Sph_eLCM	200707Gri_D20_2453
sample17	Sph_eLCM_2	Microwell spheroids	enhanced liver culture media	Sph_eLCM	200707Gri_D20_2462
sample18	Sph_eLCM_3	Microwell spheroids	enhanced liver culture media	Sph_eLCM	200707Gri_D20_2461
