sampleName,condition,treatment
NAFT18012_P3B4_D14_82_S6,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18013_P3A4_D14_28_S16,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18014_P3A4_D14_112_S24,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18015_P1B4_D14_154_S11,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18015_P1B6_D14_156_S14,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18012_P3B5_D14_83_S6,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18013_P3A5_D14_29_S16,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18014_P3A5_D14_113_S24,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18015_P1B5_D14_155_S11,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18012_P3B6_D14_84_S6,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18013_P3A6_D14_30_S16,Reduced_NPC_Fat_control,Reduced_NPC_Fat
NAFT18014_P3A6_D14_114_S24,Reduced_NPC_Fat_control,Reduced_NPC_Fat
