"",p1,p2,p3,p4,p5,p6,p7,p8
TSPAN6,0.00170881108150661,0.00217688463563632,-0.00883589864166936,-0.00096172730010724,0.00210819853346728,-0.00942215784483404,-0.00112167054256461,-0.00496622809158169
TNMD,-0.00351748175984761,-0.00708411432456304,-0.00433758676262039,-0.00736722318198408,-0.0101601596146499,-0.00132907117071902,-0.00309065587699239,0.00792999394955568
DPM1,0.00788482218573813,0.0030919651357269,-0.00800862943486851,0.00446218021793384,0.00195324989061993,-0.0123945159121191,0.00698019205008211,0.00113942216960519
SCYL3,0.00328984505035855,-0.0042656896285169,-0.00646841016123203,-0.00226573725480145,-0.00327871577590803,-0.00540608632553342,0.00247480083804746,-0.0041823634806313
C1orf112,0.000977775960549766,-0.00866323553970174,-0.0116757621837404,-0.0097222052383921,-0.0127468964216872,-0.0135344235684659,-0.00133650050858891,0.000931444808769818
FGR,0.0120239101798469,-0.0074707613508621,0.00465713567317362,0.0150655614984702,0.0228359616002547,0.00800862570144221,-0.0157695956600759,-0.00970172048544803
CFH,0.00178681311150061,0.000137093219088172,-0.0108836865013648,-0.0030715808047934,-0.00898360330018154,0.00423356689198661,0.00428123999761509,-0.000288086820567394
FUCA2,0.00720077821575792,-0.000715248932208217,-0.000107936537950707,-0.00234825310790587,-0.00155954901659876,-0.00285688096337758,0.00427864688170346,0.00115518861803233
GCLC,-0.0011651498119829,-0.00258721391970267,-0.0128084642677004,0.00563413979712867,0.00297699221283706,-0.00733862266666064,0.00314297297682878,-0.00115011754957496
NFYA,0.00573892469347344,-0.000863765762503487,-0.00422092232589569,-0.00120473396659876,-0.00266341549321933,-0.00509375292161228,0.00561775253051744,-0.00606931858265261
STPG1,0.00622114150679087,-0.00605022883139719,-0.00143233929546804,-0.00498693694845693,-0.00887370344468799,-0.00371165017821308,-0.00418845562779764,-0.000472845184529598
NIPAL3,0.0103361958075704,0.000356367067004634,-0.00380684704559561,-0.00100651003034388,-0.00517787325020734,0.00987606056557049,0.00861432586334772,0.00587491585742108
LAS1L,0.00530316742427002,-0.00179126827607294,0.000876639027336714,0.00588302065055707,-0.00407412060887571,-0.00160859357016877,0.00225479888533028,-0.000379958798715873
ENPP4,0.00758393201921991,-0.000119503700265999,-0.0235528662554026,-0.00499376429358668,-0.00587438410133529,-0.00393139672920365,-0.00914562253011091,0.00376664241483907
SEMA3F,0.00587153549382047,-0.0110009348035746,0.00708954871145402,0.0128945679823845,0.00101592235019945,0.00303932403452329,-0.00109140195923379,0.0103190031285407
CFTR,0.0280867015698471,-0.0103340781049077,-0.00699340520580462,-0.0448966322800069,-0.0390629648036723,-0.012041675693376,0.00633386084786815,-0.0141028952173922
ANKIB1,0.00442457360844213,-0.00278474771591463,-0.012738390145044,-0.00347603749759962,0.00160505711108447,-0.00309458755607991,-0.00333810439302035,-0.00359568733971432
CYP51A1,0.0182117995304434,0.016908918251208,-0.00754299208227912,-0.00540424545892771,-0.014944670537687,-0.0232130880710194,-0.0107345870612942,0.0464022378548173
KRIT1,0.0015712407724809,-0.00656841707492712,-0.00707810918202062,-0.00381205658009287,0.00792597383723892,-0.00404461308384894,0.00407986058491922,0.00141283182611594
RAD52,0.00550109023469334,-0.00470629050047272,0.00593076987688453,-0.00709921545231305,0.00636369276752195,-0.00664138668884874,0.00905392566542542,-0.00376695942879889
MYH16,0.000669279019494456,-0.000389316851087302,0.00057092824639535,-0.000718975230469936,-0.000373894961484023,0.00056575103898239,0.0016549544094032,0.000733784751887559
BAD,-0.000121327467480645,-0.00297601883350218,0.00990306760420383,0.0125765541795235,-0.00484333375650458,-0.00336798173700986,0.00371034985624869,0.00635981600342237
LAP3,0.00465379028998331,-0.00680493087205588,-0.00970780353411575,0.00504069922012647,-0.00943642203586552,0.000787816048595856,0.0036863442533832,-0.00296346255083436
CD99,-0.0013432919664969,-0.0107261921031462,0.00299075578474229,0.00210223348807626,-0.00727160008285081,-0.00423365343752917,0.00134024004673813,-0.00120746475835702
HS3ST1,0.00337902681116552,-0.00753073220144949,-0.0016282446918032,-0.00954978933070968,-0.00514609980929816,-0.00185931511336069,-0.00412142875224351,-0.00503461259248026
AOC1,-0.0189676507312184,-0.032905233644705,-0.0110630896373341,-0.00226567851989925,-0.0487568214901589,-0.00577910248815654,0.0147920705740797,-0.0128218234970154
WNT16,-0.000247705506078762,-0.00109861031774063,-0.000627181159491284,5.249855450246e-05,-0.00167279888386557,-0.00244652704742701,-0.00443550121561678,0.00406313148599211
HECW1,0.00820845581838959,0.00226382447021883,0.00124601531317724,-0.00460395106122642,-0.0022048030070963,0.000970425418366475,0.000516907587175593,0.00582191431140202
MAD1L1,-0.000762920029324539,-0.00552669429696338,0.0056218352510898,0.0113268063246735,-0.0121956968365491,-0.000895769355208997,-0.00529149886311504,0.00603868922615893
LASP1,0.0131135978282206,0.000332873037195909,-0.000327276045192887,0.00939722082834874,-0.00826612369352394,-0.00267435670351264,0.0113627361336012,0.00455239389217451
SNX11,0.0100008466493347,0.000236441446472239,0.00135642758343937,0.0102181632528156,-0.00335426408471014,-0.00776783474047344,0.00285741325771119,0.0033637382257167
TMEM176A,-0.00195665493270847,-0.00870493396714736,0.00660713151921875,0.00654481744650439,0.00269563186070006,0.00168473189348985,0.0108856041672262,0.00563778530141338
M6PR,0.00952554615504274,-0.00208516420608905,-0.00590389428828043,0.00888863880819443,-0.00064802952116476,0.00304108830672511,0.0043047584456529,0.00327010866182519
KLHL13,0.00171477583953117,-0.00269640027477959,-0.0125926346120983,-0.0057703249239145,-0.00476228277236691,-0.000390750819692239,0.0103322906613623,0.00406444847908172
CYP26B1,0.00643787691133482,0.00127219502031356,0.00786426509861563,0.00326493615649827,0.0175889947253597,0.0163434014559808,0.0103639860145013,-0.00237901013605396
ICA1,0.00804120378294946,0.00408391433628977,-0.000912401737021082,0.0121777636101227,0.0230961559403318,0.00388635332489709,0.0263625121433391,0.0195295583352816
DBNDD1,0.0182184866479289,-0.0106963234024398,-5.53151025758399e-05,-0.0137633190961187,-0.0318876944546677,-0.0134842546271803,-0.0206697617697459,-0.017782278066929
ALS2,0.00236081762519576,0.001365525542801,-0.00796527386875501,-0.00279015823433824,-0.00643101748864487,-0.00460316023007722,0.00794739288530623,-0.00772561023585843
CASP10,0.00704528604965591,-0.00583444799955229,-0.00312728022247268,-7.90024627178244e-07,-0.0063538543353049,0.000118084392392808,-0.00258341093886577,0.000225383409329918
CFLAR,0.00410290714883201,-0.00970275863259738,-0.00366014233976241,-0.000162401189575541,-0.000632191394868928,0.00420997762481104,-0.00137976476654129,0.00332835000332827
TFPI,-0.0046564096753304,-0.00565263703800396,-0.0175396433354568,-0.00472336640699855,0.0107713507093233,-0.00423487734287759,-0.00201403153226603,-0.0135623739676817
NDUFAF7,0.00233971958934601,-0.0028233820110675,-0.00378313896056401,-0.00461747702449977,-0.000844081842528243,-0.00806406908736211,-0.00228215029793293,0.000764525916648012
RBM5,0.00418516383118304,-0.00519600529116301,0.00624790110745452,-0.00697697458314103,0.00589846678830894,-0.00674773475238115,0.00639751398296061,-0.00376034408389158
MTMR7,0.00205954514285063,-0.00261162552395866,-0.00695576042046446,-0.00148072543892748,0.00942236003036036,-0.0128990720186056,-0.00821499001893982,-0.00236970364621549
SLC7A2,-0.00642398496043752,0.000134301346116999,-0.0161312571012997,0.0012344110045977,-0.0023423158979371,0.011243379564364,0.0136873186453195,0.00198979399320639
ARF5,0.000340281023764106,-0.00637560627638954,0.00494561603148166,0.00467202631594706,0.00187509747412861,-0.0068333355704938,0.00514666056253223,0.00468039647650447
SARM1,0.0057371614817444,-0.00644650393206978,0.00166834373900876,0.00980198894949844,0.00115145226548568,0.00129592629787602,0.0217937177413155,-0.0135345230321076
POLDIP2,0.00160893987697134,-0.00458905038582368,-0.00127641228822027,0.00900591659320734,-0.00635418735455212,-0.00144280548926764,0.00593711894320315,0.000506132179461856
PLXND1,0.00595527840391323,-0.0187208951249433,0.00207677332197651,0.00662604061822806,-0.0020419235995152,0.0151383779447581,-0.0103389288906863,-0.00275677535420392
AK2,0.00543706662785568,0.00197892187052429,-0.00059750912296207,0.0048094047931293,-0.000812073808885768,-0.00822099164083941,0.00616141331711154,0.00170173392551729
CD38,-0.00391730628500534,-0.0180064607383935,-0.0107304254004376,0.00668786126780687,0.00814352960779977,0.0165425261606949,-0.00307204433206226,0.00787693049158916
FKBP4,0.00417025447586075,-0.00117649227656407,0.00470740579284453,0.0139782663135259,0.00409939581440048,-0.00402714136929962,0.0162110310838735,0.00225272726925349
KDM1A,0.00309143103343412,-0.00785154078776083,-0.00223526708694494,0.00133278911612794,-0.00477438436382246,-0.00475385783044203,0.0034270545885911,-0.00120481155166763
RBM6,0.0104320756437642,-0.00386591098111402,0.0176824392050406,-0.00927090933581196,0.0139894761442971,-0.0113062868710362,0.00943503835364265,0.000793174673257501
CAMKK1,0.00522626751578604,-0.00908537469345302,0.00286257233507408,0.0031571827938181,0.00607963918564026,0.00330020387574464,-0.00554655968398532,0.000596791818053533
RECQL,0.0160342108679706,0.00867208222927097,-0.0121151632377629,0.00361868936065228,-0.00334968361810565,0.00445161397349575,-0.00103153430535309,0.00251758580907714
VPS50,0.00873941186214033,0.00290505553346668,-0.012860711047215,-0.00226212561981599,0.00250359794458304,-0.00701852687679538,-0.000412589871997981,-0.000799270501929601
HSPB6,0.0115972263506082,-0.0246267881250079,0.0092162886168426,-0.0130100336286303,-0.00198482462190215,0.0016239533513377,-0.0097710930978874,-0.0122839399072581
ARHGAP33,0.00542282336226641,-0.0137031561241316,0.0150639330870678,-0.00207380503190213,0.00673150871456792,0.00512768989725128,-0.00157033583325817,0.00235338838928929
NDUFAB1,-0.000251680799395978,-0.00181060698090966,0.00253721069290909,0.00162733049712831,0.00655770346592299,-0.0147711068566951,0.00807314828928114,0.00914670209241052
PDK4,-0.014204240511929,-0.00395549819398476,-0.0117695467518326,-0.00474541107108244,0.0142665867278846,0.000286711529067435,0.00994106898736083,0.0015376894615278
SLC22A16,0.000523679851517016,0.000734375737226645,0.000636615845496957,-0.000732829043130686,0.000725094737021345,0.000285482618235857,0.00130856573555998,-0.00011466751021317
ZMYND10,0.00388729598386688,-0.00221006319318469,0.00689785459392943,-0.00138124274485314,0.00304675462794625,-0.00298144106804868,-0.00114712801779588,0.00381417898147308
ABCB5,0.000580541415886356,5.44144490110066e-05,-0.000134361235358048,0.00143654757259919,0.000763314822680697,-0.000204492403248309,-0.000628414100746581,-0.00114279156627904
ARX,4.08390746966628e-05,-8.60153991818492e-05,0.000203709814676738,-7.42235085456409e-05,0.000384872169147813,0.000219067675895649,0.00025879788223279,0.000665784840349765
SLC25A13,0.000145700943145149,-0.00216096361091798,-0.00927133360976679,0.0086508072923076,-0.00209020687566202,-0.0039822347436465,-0.000149324082232847,-0.00191130858998634
ST7,0.000336411515376827,-0.000107613354778365,-0.00426392311045122,0.00531249391343529,-0.00190251399070207,-0.000698055396021467,0.00592653569198578,-0.00244605503138707
CDC27,0.00860461010025204,0.00297282154957019,-0.0152616355763893,0.00225256799325236,0.0026043408175836,-0.00723700800799185,0.00126105203803268,0.00477401650586043
SLC4A1,0.00244200593717651,-0.000930541612655056,0.00241076458922617,0.00264219179030309,0.00590407724003246,0.00261809244320537,0.0064313132192295,0.0105895333545769
CALCR,-0.000158684085894506,-0.000539464989253959,-0.0003044718917126,0.000619360389687417,0.0023778870107232,0.00184227096221935,0.00138393192314856,0.00210034987676573
HCCS,0.00732032815959949,0.000724626843810801,-0.0054954813643048,0.00626899878585579,-0.00192540245733893,-0.00135008521133931,0.00206171169040845,0.00270563816297651
DVL2,0.00698587400109392,-0.00579414509667936,0.00574257588360877,0.00560911089639885,0.00144828852632638,-0.00133640648063123,0.0102796953049323,0.00645436085567143
UPF1,0.00380265341810733,-0.00701724016265043,0.00314083105707952,0.0109610263191958,-0.0118804960899927,-0.00241778293356597,0.00521445487607377,-0.00924040661841845
SKAP2,0.0105037017586787,0.00113457587700156,-0.00812949729169831,0.00391481315917602,0.0117469840024546,0.0115235168223819,0.0106118565690522,0.00877161404264557
SLC25A5,0.00516515286388917,-0.00038236732152314,-0.00557292156144528,0.00907707609915783,-0.00709160871367413,-0.0064326942079554,0.00985284984844737,-0.00492690531530933
HOXA11,-8.33177832079037e-07,-8.85585186624395e-07,-1.31293218285113e-05,1.60427963572181e-05,1.10230360018062e-05,-4.25898344122812e-05,-6.45058360559515e-05,-0.000123273857353602
POLR2J,-0.00304721450478084,-0.00478378250562002,0.00647395565369195,0.00612566429970882,-0.000345597101234991,-0.00681873169267554,0.00467614896314006,0.0044762415469023
DHX33,0.00579556138353387,-0.00133361166904954,-0.00373086552055634,0.00213063542166986,-0.00301848901895565,-0.00502271777034275,0.00099997413954218,0.00248765598630017
MEOX1,0.0112522779657193,0.000657435139146779,0.00153512604584905,0.00155898761564256,0.00480898962257533,0.000769169517086151,-0.00429689537619107,-0.00658844746313665
THSD7A,0.0122098983718068,0.00283612278374806,-0.00327900564172801,-0.00575572736039763,0.00598206090542829,-0.00110377920982304,0.00204945319613015,-0.0073795283917507
LIG3,0.00181133037611789,-0.00862351795047658,-0.00489093978469687,0.00492932481066347,-0.0058293188487461,-0.00518732885523519,0.00517631358165939,0.000379145274767182
RPAP3,0.0070509437249598,0.000727610287116518,-0.0152536287884018,0.00172848848200497,0.000811604993340534,-0.00470147737258637,-0.0012869112640306,0.00528839314742362
ACSM3,-0.00734777006750922,-0.00457360813295782,-0.0117850863659256,0.00341294485104992,-0.0061579158570607,-0.00441166108471305,0.0123874108884288,0.00025303538356706
CIAPIN1,0.00869125826763091,-0.00220230853162032,0.00138704747297692,0.00171139289814927,-0.00859689905922834,-0.00759751869869646,0.0074843101539108,0.00364933504702838
SPPL2B,0.00376612643919633,-0.0119100051236513,0.0173508649529499,0.00371344149899522,-0.00810319639002731,-0.00461555230371262,-0.00296873980698085,-0.00344771412573886
COPZ2,0.00104698713226621,-0.00359800537358786,0.00739505924130836,0.0072652748288824,0.00525040334204598,-0.00513694846546383,0.00734838782449874,0.000720653551120192
MSL3,0.00760162000190427,-0.0054347814150116,-0.00576437761370427,-0.00236213580795106,-0.0012641480693277,-0.00760691131861235,0.000667880938201779,0.000323027050217986
CREBBP,-0.000639961912523847,-0.0135531458664884,0.000790122660353369,0.00124988447061119,0.000475427105896062,0.00829254333859216,0.00359120098950311,-0.00385098576055188
TSPOAP1,-0.00158498096012334,-0.0235193006686094,0.013859048682065,-0.00802776723585611,-0.00199165804083636,-0.00462809936598235,0.0028078507346782,-0.0175377332563711
MPO,0.00324176592146468,-0.00143163161003012,0.00111439304799247,0.00305750355138357,0.000363922154306269,0.000844729762881911,0.00103465686227625,0.00771033839540534
