"",V1,V2
TSPAN6,-0.00594605989580189,-0.00595006029604043
TNMD,-0.013823447145969,0.00906577050078178
DPM1,0.00343880976989621,-0.000914862355884433
SCYL3,-0.00573498104448002,0.00139855271560216
C1orf112,-0.0224998931721517,0.00729109305362369
FGR,0.00896647417529472,-0.0168595164825338
CFH,-0.00429477203210756,0.00447738328569631
FUCA2,0.000846548358209656,0.0054245241488206
GCLC,-0.00236916303511716,-0.00620258147926683
NFYA,-0.00332181925227273,0.0021377582007993
STPG1,-0.00999118992971032,0.00405542408305212
NIPAL3,0.00642334390126927,0.0123708948839295
LAS1L,0.00108108459126254,-0.00268381143586829
ENPP4,-0.0123691034748857,0.000925906585533134
SEMA3F,0.00460292424898583,-0.00924177038854574
CFTR,-0.0322299867758205,0.043481247874381
ANKIB1,-0.00498821301822149,-0.00265104243081454
CYP51A1,-0.00412940770392134,0.0262439795171141
KRIT1,-0.00043870039295043,0.00121538463835464
RAD52,0.00357378766938678,0.003961316711955
MYH16,-0.000810237428632628,0.00152356827893893
BAD,0.00247558216616046,0.00118209944309214
LAP3,-0.004880544538032,0.00169981316977614
CD99,-0.00877352495330624,0.000932552855886185
HS3ST1,-0.0117697054070121,0.00318955408588715
AOC1,-0.051244679410278,0.0103926011660255
WNT16,-0.00334132090208895,-0.000584247033138641
HECW1,0.000713299276731561,0.0132542667355638
MAD1L1,-0.00570988282695874,-0.00164694731718909
LASP1,0.00562473858127257,0.00524816632553949
SNX11,0.00393820439112491,-0.00184324486841906
TMEM176A,0.00615526065910924,0.00113863490650169
M6PR,0.00439944104350943,-0.000887787833823517
KLHL13,-0.00479589257038693,0.0123123952765026
CYP26B1,0.0254744786312535,-0.00112389720438272
ICA1,0.0330304465282705,-0.00132887027340501
DBNDD1,-0.0328255136360996,0.00657739653847993
ALS2,-0.0051285398666976,0.00587717157083324
CASP10,-0.00585384227747399,0.00269404000716904
CFLAR,-0.0028683561554537,0.000196331961024991
TFPI,-0.00567595085905046,-0.0114755887874767
NDUFAF7,-0.00517709625892333,0.00143671412874175
RBM5,0.00177083884316499,0.00255785677971068
MTMR7,-0.00359921066017315,-0.00938340972293168
SLC7A2,0.00337970390950944,0.00617248610705025
ARF5,0.000752654261031699,0.00127448129011829
SARM1,0.00839494874197292,-0.00511690578554895
POLDIP2,-0.00135223868797678,-0.000434948201014658
PLXND1,-0.00458022182594166,-0.00889839665869936
AK2,0.00320285945479769,7.44507219826153e-05
CD38,-0.000370998532378787,-0.0031491096998972
FKBP4,0.0124857370411395,-0.0021042141415763
KDM1A,-0.00766815529939818,0.00296907496822537
RBM6,0.013560166653682,0.00596874959220084
CAMKK1,0.00188319798700415,-0.00629960064450442
RECQL,0.00735942192579604,0.00346210912922013
VPS50,-0.00138206578215843,-0.000625565035005952
HSPB6,-0.0123030927769933,0.00333601318620192
ARHGAP33,0.00416004445546118,0.00336248058863283
NDUFAB1,0.00286991792969884,0.00278078862700324
PDK4,-0.000719879017626984,-0.00793829307932475
SLC22A16,-3.97002532885882e-05,0.0021541553087755
ZMYND10,0.0030462420414302,0.00293483736702803
ABCB5,-0.00156536170601995,-0.0019824499629981
ARX,0.00065149462205648,0.000159813535681076
SLC25A13,-0.00351957751033719,-0.00616655591937166
ST7,-8.17558037586734e-05,-0.00166838667752651
CDC27,0.00210322874572524,0.000594777017683866
SLC4A1,0.009690877934826,0.00304775580486554
CALCR,0.00250186844833895,0.000597549196417282
HCCS,0.0017108577663919,-0.00167513279424736
DVL2,0.00715230198366903,0.00627160102191203
UPF1,-0.0046343238244188,-0.00370304680783704
SKAP2,0.0182760669910616,0.00477280554002304
SLC25A5,-0.00192222388908568,-0.0013575234753662
HOXA11,-6.41759002318281e-06,1.83792640558213e-05
POLR2J,0.000380411647463061,0.000319638107593349
DHX33,-0.00246816057513452,0.00218985742432268
MEOX1,0.00541694918349958,-0.00864060651535302
THSD7A,0.00581895331594456,-0.00187828120387219
LIG3,-0.00617385091358805,0.00202506839705886
RPAP3,-0.00264000396279635,-0.000243963805333439
ACSM3,-0.00593176423373734,0.00359715019929347
CIAPIN1,-0.00201588756241597,0.00763312637586496
SPPL2B,-0.00548222825114739,-0.00457659073801285
COPZ2,0.00700574478262603,-0.0059693467220967
MSL3,-0.00530482427437416,0.00233623396483648
CREBBP,-0.00204834335156857,-0.00115960976019871
TSPOAP1,-0.0104641688003203,0.00487812744255391
MPO,0.00331770369902078,0.00281781604967429
PON1,-0.00873558984407555,-0.00967633727413841
GCFC2,-0.00611150011711758,-0.00181669880475027
WDR54,0.00247983355966735,0.00573836036859685
CROT,-0.0110087181639587,0.00102104353800915
ABCB4,-0.00272995566322657,-0.00243054427090746
KMT2E,-0.00305817633375344,0.000450232150521623
RHBDD2,-0.00432175073923909,0.00726144954565178
SOX8,0.00163278409139501,-0.00119310397642663
ZNF195,0.000751650737926824,-0.00337364845651336
MYCBP2,0.00634548128308941,-0.00020385912242668
FBXL3,0.000612542883873095,-0.00726169918897088
ITGAL,0.000764483427354559,-0.0112105673350819
PDK2,0.00193553774331043,-0.00221846332007321
ITGA3,0.000739685060381862,0.0104242127685164
ZFX,-0.00287774036766668,0.00407253310517324
LAMP2,-0.00596991692467259,0.00253241995907491
ITGA2B,0.00172244951248136,0.00127218259831307
ASB4,-0.00189211003202104,0.00630538404714349
GDE1,0.000507919322138145,-0.00248269423074258
CRLF1,0.00139193749049553,-0.0065567482128161
OSBPL7,-0.00247865207483418,-0.00281537331583394
TMEM98,0.0356538001497783,0.00942597896878027
ABCC8,-0.00376833688984429,0.000807978653934791
CACNG3,-9.09662276361902e-05,-0.000345997039631564
TMEM132A,-0.00515059182660415,0.00353859072429234
AP2B1,-0.00371533248126785,0.00477950377551655
TAC1,-0.00261257500048011,-0.00123035347403958
ZNF263,0.00391796307424366,0.00187025710259598
CX3CL1,-0.0053599303768691,-0.00283546147398633
SPATA20,0.000658541313303024,-0.00462565463381337
CACNA1G,-0.00132971402828849,0.000854988594190168
TNFRSF12A,0.0320248918909981,0.0145024665304958
DLX6,0.000385700990091302,-0.000626368906620505
MAP3K9,0.00366246536654417,0.00836264189116678
RALA,-0.00324666091381894,-0.00663157295229369
BAIAP2L1,-0.00279335300165283,-0.0008895072546192
KDM7A,-0.00835498974683243,0.00845939453170067
ETV1,0.0103010472784573,-0.000474121983094128
ALDH3B1,0.00907496980473576,-0.000635183012679754
TTC22,0.0179511024575376,-0.00277315145918427
PHTF2,0.00196021724839336,-0.00825115446973875
CCL26,-0.00119216560982401,0.0013856574963
FARP2,0.000491516858156196,-0.000819878397941742
USH1C,0.00292416021093423,0.0070347472838857
GGCT,-0.00228930906677422,0.00270257402977854
DBF4,0.00477992563642244,-0.0038617979363628
TBXA2R,-0.00161699129678371,-0.0130350502158246
IFRD1,-0.00390974098809436,-0.000178276839748287
LGALS14,-0.000234932783357961,-0.000606573496725304
COX10,-0.00213454859074404,0.00431801737653126
GTF2IRD1,-0.004918824500421,-0.00553754240795773
PAF1,0.000498478174136946,-3.59995873986145e-05
VPS41,0.00360840543226335,0.0125116390782733
ARHGAP44,-0.0146356944013062,0.00301537358314892
ELAC2,-0.00193642939279735,-0.000945472494999964
SCIN,0.00544541302314112,0.00234569727979251
ARSD,0.00212437013095254,-0.00455225972104643
PNPLA4,-0.00109479868237039,-0.00258850490253121
MYH13,-0.000697430763395539,0.000128748342449532
CDKL3,0.0061214350464879,0.00609696297544203
UPP2,-0.00412999430296582,0.00268292354706923
MARK4,-0.00201926115750242,-0.0161336544733243
PROM1,-0.0081184982047955,0.0170461690108653
CCDC124,0.00249389576046864,-0.00397749165429877
PAFAH1B1,0.00316165487140829,-0.00204810270109397
NOS2,0.00418438950729234,-0.000295456347413227
DNAH9,0.0049130907785239,-0.000493465738295815
SLC13A2,-0.0119834337797022,0.00708275795813526
GAS7,0.0119162024830837,-0.0179823115503747
TRAPPC6A,0.00304884353948456,0.0100562412922941
MATK,0.00880970638645473,-0.0208992280588691
CD79B,-0.00287602559426958,0.00103872390691219
SCN4A,-0.00524958013608614,0.000757645420424583
ST7L,-0.00154534702718757,-0.0149664077772385
TKTL1,-0.00262100156834498,-0.000501336736624885
PAX6,-0.000306923130793362,-0.000869908853292886
RPUSD1,-0.00202856148352788,0.00448683408742929
RHBDF1,0.0155716210779276,0.00435659735756468
LUC7L,0.00572648167720059,0.000347825950035048
CACNA2D2,0.00674412178947709,-0.00473616267595013
BAIAP3,-0.000246416438595803,0.000207308375593014
TSR3,0.000752944069135187,-0.00357545336512395
PIGQ,0.00125584818386843,-0.00305706225568467
CRAMP1,-0.0018053511599537,-0.00257166280554772
TEAD3,0.00446818244861982,0.000407818123228163
SELE,-0.00441667182023371,-0.00368597461696548
DNAJC11,-0.00382839159452824,0.00180828600783778
FMO3,0.00838163712831251,-0.00123134352650394
MYLIP,-0.0221170156274669,0.00345657867844513
NOX1,0.00201834047572052,-0.00435857843108402
SYN1,0.00208542556147527,-0.000512878953781683
JARID2,0.00442669810491264,-0.0007720006430995
CDKL5,-0.000452210965206067,0.00733222876093872
CAMK1G,-0.00642403121374732,-0.00522456003449974
CDK11A,-0.00749269696001124,0.00133358243041771
NADK,-8.70191458851376e-05,0.00195759162056246
TFAP2B,0.000303587126662408,-0.000308002487325653
TFAP2D,0.000106227735923286,-2.06870326391089e-05
