,orginal_var_exp,new_var_exp,dataset
0,33.19131943,40.84508249,MPS
1,33.19131943,40.80590477,MPS
2,33.19131943,40.84302357,MPS
3,33.19131943,40.84251577,MPS
4,33.19131943,40.84718351,MPS
5,33.19131943,40.84660903,MPS
6,33.19131943,40.82252783,MPS
7,33.19131943,40.68170514,MPS
8,33.19131943,40.84781653,MPS
9,33.19131943,40.78002539,MPS
10,33.19131943,40.84605601,MPS
11,33.19131943,40.84132594,MPS
12,33.19131943,40.83549263,MPS
13,33.19131943,40.82668031,MPS
14,33.19131943,40.82702221,MPS
15,33.19131943,40.8196026,MPS
16,33.19131943,40.84398805,MPS
17,33.19131943,40.84251677,MPS
18,33.19131943,40.26714129,MPS
19,33.19131943,40.83809154,MPS
20,33.19131943,40.71679318,MPS
21,33.19131943,40.84032842,MPS
22,33.19131943,40.84458002,MPS
23,33.19131943,40.84561824,MPS
24,33.19131943,40.83531788,MPS
25,33.19131943,40.84089515,MPS
26,33.19131943,40.84130117,MPS
27,33.19131943,40.84356228,MPS
28,33.19131943,40.7642896,MPS
29,33.19131943,40.84637451,MPS
30,33.19131943,40.83941591,MPS
31,33.19131943,40.84657315,MPS
32,33.19131943,40.83994378,MPS
33,33.19131943,40.84393796,MPS
34,33.19131943,40.35639855,MPS
35,33.19131943,40.83939748,MPS
36,33.19131943,40.84592964,MPS
37,33.19131943,40.84214141,MPS
38,33.19131943,40.84434142,MPS
39,33.19131943,40.70037016,MPS
40,33.19131943,40.85152504,MPS
41,33.19131943,40.84467357,MPS
42,33.19131943,40.83903722,MPS
43,33.19131943,40.83409616,MPS
44,33.19131943,40.84813018,MPS
45,33.19131943,40.84457609,MPS
46,33.19131943,40.78694942,MPS
47,33.19131943,40.85010796,MPS
48,33.19131943,40.84601008,MPS
49,33.19131943,40.84404243,MPS
50,33.19131943,40.82796939,MPS
51,33.19131943,40.84503517,MPS
52,33.19131943,40.84747502,MPS
53,33.19131943,40.83019475,MPS
54,33.19131943,40.831665,MPS
55,33.19131943,40.84215098,MPS
56,33.19131943,40.84455331,MPS
57,33.19131943,40.84501109,MPS
58,33.19131943,40.80281706,MPS
59,33.19131943,40.83955753,MPS
60,33.19131943,40.83804672,MPS
61,33.19131943,40.84697698,MPS
62,33.19131943,40.53673415,MPS
63,33.19131943,40.81332559,MPS
64,33.19131943,40.84253044,MPS
65,33.19131943,40.64017377,MPS
66,33.19131943,40.8388194,MPS
67,33.19131943,40.8463936,MPS
68,33.19131943,40.84577281,MPS
69,33.19131943,40.75336106,MPS
70,33.19131943,40.84491118,MPS
71,33.19131943,40.83848738,MPS
72,33.19131943,40.78314784,MPS
73,33.19131943,40.76921365,MPS
74,33.19131943,40.84162174,MPS
75,33.19131943,40.84287079,MPS
76,33.19131943,40.8444031,MPS
77,33.19131943,40.82934642,MPS
78,33.19131943,40.81426369,MPS
79,33.19131943,40.695138,MPS
80,33.19131943,40.79989453,MPS
81,33.19131943,40.84753814,MPS
