,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TSPAN6,-0.42301702,-0.5268252,-0.25648126,-0.26840678,0.27255222,-0.30105883,-0.5794502,-0.31776527,-0.48123047,0.093268596,-0.079814136,-0.18941511,-0.42739934,-0.5312075,-0.26086357,-0.2727891,0.2681699,-0.30544114,-0.5838325,-0.32214758,-0.48561278,0.088886276,-0.084196456,-0.19379742
DPM1,0.1664782,-0.02334833,0.087443665,0.040466584,-0.2590108,0.009523844,-0.012099782,-0.029822864,-0.17557499,0.19795452,0.23616146,0.15790899,-0.013403192,-0.20322973,-0.09243773,-0.13941482,-0.4388922,-0.17035756,-0.19198118,-0.20970425,-0.35545638,0.018073127,0.05628006,-0.021972403
SCYL3,0.27694666,0.19230899,0.21814337,-0.1621951,0.25260112,0.12069144,0.29219142,0.015657486,-0.0011014261,0.26776257,0.44709772,0.43889335,0.38053814,0.29590046,0.32173485,-0.05860363,0.3561926,0.22428292,0.3957829,0.11924896,0.102490045,0.37135404,0.5506892,0.5424848
C1orf112,0.0072265444,-0.5758265,0.5504894,-0.119703025,0.23036109,-0.2346058,-0.5262742,-0.29263672,-0.47356227,-0.5746171,0.5092059,-0.14736326,-0.14120823,-0.7242613,0.40205467,-0.2681378,0.081926316,-0.38304058,-0.67470896,-0.4410715,-0.62199706,-0.72305185,0.36077112,-0.29579803
FGR,0.29490614,-0.70415795,-0.8452974,-1.1484231,-1.1484632,-0.2587831,-0.4314714,-0.59177727,-0.60895246,0.7423226,-0.4809367,-1.0297219,0.15052879,-0.8485353,-0.98967475,-1.2928004,-1.2928406,-0.40316045,-0.57584876,-0.7361546,-0.7533298,0.5979453,-0.62531406,-1.1740992
CFH,0.98860383,0.7263535,0.81489956,0.9455197,0.8906363,0.9217198,0.6377765,0.4906725,0.8099634,1.0385718,0.8286908,0.77207613,1.0360655,0.7738152,0.86236125,0.9929814,0.938098,0.9691815,0.6852382,0.53813416,0.8574251,1.0860335,0.8761525,0.8195378
FUCA2,-0.46984458,-0.03422504,-0.08555553,-0.17375495,0.074713536,-0.13621676,0.100962736,-0.021020817,-0.27825758,-0.29888627,0.364404,0.028127864,-0.15927744,0.2763421,0.22501162,0.1368122,0.38528067,0.17435038,0.41152987,0.2895463,0.032309562,0.011680871,0.6749711,0.338695
GCLC,0.39348307,0.5560169,0.55226946,0.45704833,0.37470996,0.34636605,0.3775577,0.64661133,0.38596952,0.47614428,0.64747846,0.6756521,0.42555037,0.5880842,0.58433676,0.48911563,0.40677726,0.37843335,0.409625,0.67867863,0.41803682,0.5082116,0.67954576,0.7077194
NFYA,-0.28858238,-0.17957108,-0.09730535,-0.10897685,-0.3019728,-0.32622197,-0.30843207,-0.18151958,-0.4016088,-0.14069018,0.08026025,0.1256041,-0.37812692,-0.26911563,-0.18684989,-0.19852138,-0.39151734,-0.4157665,-0.3979766,-0.2710641,-0.49115333,-0.23023471,-0.009284288,0.03605956
STPG1,-0.68992287,-0.6659047,-0.12137723,-0.25467554,0.08900636,-0.5868166,-0.07648085,-0.19034246,-0.618154,-0.42921323,-0.11324155,-0.38733172,-0.8284668,-0.8044486,-0.2599211,-0.3932194,-0.049537517,-0.7253605,-0.21502472,-0.32888633,-0.7566979,-0.5677571,-0.25178543,-0.52587557
NIPAL3,-0.5657524,-0.47616968,-0.21132562,-0.42489406,-0.58084005,-0.5887331,-0.2656794,-0.39966416,-0.725928,-0.5535634,-0.28255066,-0.23903498,-0.5595654,-0.4699827,-0.20513865,-0.4187071,-0.5746531,-0.5825461,-0.25949243,-0.3934772,-0.71974105,-0.54737645,-0.2763637,-0.23284802
LAS1L,-0.19010536,-0.056250814,-0.07957087,-0.1735639,-0.21211353,0.046786517,-0.030775033,-0.028340707,-0.09087227,-0.2844263,-0.07014523,-0.14634556,-0.3795357,-0.24568115,-0.26900122,-0.36299425,-0.40154386,-0.14264382,-0.22020537,-0.21777105,-0.2803026,-0.47385663,-0.25957558,-0.3357759
ENPP4,0.5238904,0.31190658,0.4185246,0.484893,0.20817116,0.44563586,0.13894966,0.21857423,0.06451704,0.4372543,0.6762368,0.32524094,0.66781175,0.45582798,0.562446,0.6288144,0.35209256,0.5895573,0.28287107,0.36249563,0.20843846,0.5811757,0.82015824,0.46916234
SEMA3F,-0.85696644,-1.2603722,-0.9606597,-0.83848196,-1.225932,-0.7435169,-0.55201054,-1.2457544,-1.4689541,-1.4520757,-1.1458699,-1.095418,-1.0881186,-1.4915243,-1.1918118,-1.0696341,-1.4570842,-0.9746691,-0.7831627,-1.4769065,-1.7001063,-1.6832279,-1.377022,-1.3265702
CFTR,-0.92258406,-0.52837896,0.72360086,0.72786134,-0.23431495,-1.0086787,-0.57968396,-0.27487075,-0.7770713,-0.8670399,-0.39701763,-0.9205794,0.005500078,0.39970517,1.651685,1.6559455,0.6937692,-0.08059454,0.34840018,0.6532134,0.15101284,0.061044216,0.53106654,0.007504761
ANKIB1,-0.2886586,-0.5023155,0.014480678,-0.4402916,-0.3078353,-0.3608182,-0.19819614,-0.18294564,-0.47327778,-0.18852691,-0.14784877,-0.13957347,-0.29933834,-0.51299524,0.003800937,-0.45097136,-0.31851506,-0.37149796,-0.20887588,-0.19362538,-0.48395753,-0.19920665,-0.1585285,-0.1502532
CYP51A1,0.6935513,0.87509286,0.97746855,0.61346704,0.8472151,0.581866,0.5567063,0.96929574,0.6315126,1.2650037,0.89022446,1.1586516,0.56344897,0.7449905,0.8473662,0.4833647,0.7171128,0.4517637,0.42660397,0.8391934,0.50141025,1.1349013,0.7601221,1.0285492
KRIT1,-0.16731167,-0.3408005,-0.11474876,0.05880471,-0.19972298,0.044263136,-0.2602766,-0.24797744,-0.1127794,0.017601887,-0.07609309,0.4439105,-0.22607617,-0.39956498,-0.17351326,4.0210783e-05,-0.25848746,-0.014501363,-0.31904107,-0.30674192,-0.1715439,-0.04116261,-0.1348576,0.38514602
RAD52,-0.016255034,0.04508153,0.43461037,-0.860959,-0.55510926,-0.23473977,-0.34861493,0.113949396,-0.35622206,0.26020217,-0.6236495,0.038099222,-0.015403141,0.04593342,0.43546227,-0.8601071,-0.5542574,-0.23388787,-0.34776303,0.11480129,-0.35537016,0.26105407,-0.6227976,0.038951114
BAD,0.27168798,-0.071682885,-0.045194387,-0.057342988,0.33320957,0.1759672,0.09649334,0.3518798,0.13856746,0.028921204,-0.25693518,-0.09196377,0.20327914,-0.14009172,-0.11360323,-0.12575182,0.26480073,0.10755836,0.028084502,0.28347096,0.07015862,-0.039487638,-0.32534403,-0.16037261
LAP3,0.8495905,0.29528219,0.29448676,0.5832476,0.55047953,0.74590904,1.4282287,0.32304454,0.5811009,0.57248724,0.35556793,0.36397007,0.7813792,0.22707093,0.2262755,0.51503634,0.48226827,0.6776978,1.3600174,0.25483328,0.5128896,0.504276,0.28735667,0.2957588
CD99,-0.2387518,-0.27734137,0.040036935,-0.20375265,-0.010237668,-0.14670223,0.043946587,-0.0288514,-0.19941348,-0.21639152,-0.09596099,0.054210898,-0.17396373,-0.21255329,0.104825005,-0.1389646,0.0545504,-0.081914164,0.10873465,0.03593667,-0.1346254,-0.15160346,-0.031172924,0.11899896
HS3ST1,-0.100237645,0.38056776,0.32358292,-0.2535901,-0.3565879,-0.17264102,-0.10748125,-0.37719333,-0.5041006,0.0561332,0.42088926,0.29486585,0.21956134,0.70036674,0.6433819,0.06620887,-0.03678891,0.14715795,0.21231773,-0.057394356,-0.18430164,0.3759322,0.7406882,0.6146648
HECW1,-1.745003,-1.7261673,-1.6583488,-0.042948764,-1.6561729,-1.5281662,-0.63148814,-1.6310514,-1.7068391,-1.7225429,-1.754443,-1.3893822,-1.7632264,-1.7443907,-1.6765722,-0.061172202,-1.6743963,-1.5463896,-0.6497116,-1.6492748,-1.7250625,-1.7407663,-1.7726665,-1.4076056
MAD1L1,0.5566683,0.9362182,1.134752,0.8482872,0.9579006,0.27392247,0.80974686,1.2105238,0.8610471,0.2194793,0.081947654,0.78962374,0.5546753,0.9342252,1.1327591,0.8462942,0.9559076,0.27192947,0.80775386,1.2085309,0.8590541,0.2174863,0.07995467,0.78763074
LASP1,-0.5332088,-0.43808934,-0.34121054,-0.29061857,-0.26367787,-0.4764689,-0.16628434,-0.38788012,-0.49832818,-0.6415248,-0.19353923,-0.55171543,-0.5461929,-0.45107344,-0.35419464,-0.30360267,-0.27666196,-0.489453,-0.17926843,-0.4008642,-0.51131225,-0.6545089,-0.20652333,-0.56469953
SNX11,-0.14762716,-0.20589265,-0.13290273,-0.44441462,-0.43336484,-0.15684092,0.15450276,-0.2328076,-0.5290778,-0.34481627,0.19944781,-0.29723772,-0.07366956,-0.13193506,-0.058945127,-0.37045702,-0.35940725,-0.08288332,0.22846037,-0.15885001,-0.45512024,-0.27085868,0.2734054,-0.22328013
TMEM176A,0.6008504,0.39332566,0.3911081,0.60287744,0.876314,0.5868466,0.58969235,0.4647172,0.70863354,0.59121746,0.25050196,0.37253797,0.61734766,0.40982294,0.40760538,0.6193747,0.89281124,0.60334384,0.6061896,0.4812145,0.7251308,0.6077147,0.26699924,0.38903525
M6PR,-0.3527541,-0.6980883,-0.3687652,-0.555746,-0.67880607,-0.369149,-0.55728066,-0.34575692,-0.7410632,-0.5301149,-0.3910831,-0.51179516,-0.46196467,-0.8072989,-0.4779758,-0.6649566,-0.7880167,-0.47835958,-0.66649127,-0.4549675,-0.8502738,-0.6393255,-0.5002937,-0.6210058
KLHL13,1.4616765,1.4039805,1.5193998,1.763008,1.667898,1.2943833,1.2691356,1.4375136,1.405253,1.9270207,1.1494497,1.5009578,1.5114051,1.4537091,1.5691284,1.8127366,1.7176267,1.3441119,1.3188642,1.4872422,1.4549817,1.9767493,1.1991783,1.5506865
ICA1,0.026984196,-0.07852941,-0.035614047,0.2821866,-0.17582016,-0.21206117,0.6057892,0.04220825,0.01945834,-0.18603458,-0.15862304,-0.2136609,-0.08467735,-0.19019096,-0.1472756,0.17052504,-0.2874817,-0.32372272,0.49412763,-0.0694533,-0.09220321,-0.2976961,-0.2702846,-0.32532245
DBNDD1,0.23643164,1.1901679,1.0855114,0.59443027,1.0558236,0.6899026,1.2384983,1.3581204,0.733878,0.4826467,1.2409304,1.1081029,0.71957546,1.6733117,1.5686553,1.077574,1.5389674,1.1730464,1.7216421,1.8412642,1.2170218,0.9657905,1.7240742,1.5912467
ALS2,0.1937388,0.26388142,0.10625671,0.09953776,0.09845351,0.07110136,-0.17726906,0.31337202,0.061624613,0.19377728,0.18195103,0.25543082,0.053372934,0.12351555,-0.03410916,-0.04082811,-0.041912362,-0.06926451,-0.31763494,0.17300615,-0.07874125,0.05341141,0.041585162,0.11506495
CASP10,-0.05289124,0.18836911,0.46492162,0.27075502,0.23087455,0.052023813,0.2265564,0.44791037,0.38148275,0.07427675,0.512502,0.63943595,0.009966359,0.25122672,0.5277792,0.33361262,0.29373217,0.11488141,0.289414,0.51076794,0.44434035,0.13713434,0.5753596,0.7022935
CFLAR,-0.20082238,-0.41155756,0.24219859,-0.21847361,-0.19286308,-0.11028589,-0.35077336,0.048132315,-0.37411073,-0.17749621,-0.1614374,0.04595007,-0.36654302,-0.5772782,0.076477945,-0.38419425,-0.35858372,-0.27600652,-0.51649404,-0.11758833,-0.5398314,-0.34321684,-0.32715803,-0.11977057
TFPI,0.25378543,0.21268095,0.5275029,0.2986131,0.28498426,0.30223495,0.03519928,0.3300346,0.19436486,0.40431058,0.2576508,0.5829388,0.17095405,0.12984958,0.4446715,0.21578172,0.20215288,0.21940356,-0.047632094,0.24720323,0.111533485,0.3214792,0.17481941,0.5001074
NDUFAF7,-0.38757423,0.02739874,-0.0687343,-0.28533196,-0.09476436,-0.2787411,0.11953325,-0.054524917,-0.3368078,0.03752456,-0.08196091,0.27910414,-0.40046614,0.014506834,-0.08162621,-0.29822388,-0.10765627,-0.291633,0.10664134,-0.067416824,-0.3496997,0.024632651,-0.09485282,0.26621222
RBM5,-0.36707747,-0.25039214,0.19006167,-0.09585284,-0.23811722,-0.1915644,-0.26870248,-0.022457458,-0.47778404,-0.18410833,-0.36113742,0.12305758,-0.37573844,-0.2590531,0.18140069,-0.10451382,-0.24677819,-0.20022538,-0.27736345,-0.031118438,-0.486445,-0.19276932,-0.3697984,0.1143966
