,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TSPAN6,-0.42301702,-0.5268252,-0.25648126,-0.26840678,0.27255222,-0.30105883,-0.5794502,-0.31776527,-0.48123047,0.093268596,-0.079814136,-0.18941511,-0.19297798,-0.29678613,-0.026442215,-0.038367733,0.50259125,-0.07101978,-0.34941113,-0.08772622,-0.25119144,0.32330763,0.15022491,0.040623933
DPM1,0.1664782,-0.02334833,0.087443665,0.040466584,-0.2590108,0.009523844,-0.012099782,-0.029822864,-0.17557499,0.19795452,0.23616146,0.15790899,0.093957335,-0.0958692,0.014922798,-0.032054283,-0.33153164,-0.06299702,-0.08462065,-0.10234373,-0.24809586,0.12543365,0.16364059,0.085388124
SCYL3,0.27694666,0.19230899,0.21814337,-0.1621951,0.25260112,0.12069144,0.29219142,0.015657486,-0.0011014261,0.26776257,0.44709772,0.43889335,0.4093898,0.3247521,0.35058647,-0.029751986,0.38504422,0.25313455,0.42463452,0.1481006,0.1313417,0.40020567,0.57954085,0.57133645
C1orf112,0.0072265444,-0.5758265,0.5504894,-0.119703025,0.23036109,-0.2346058,-0.5262742,-0.29263672,-0.47356227,-0.5746171,0.5092059,-0.14736326,0.08797146,-0.4950816,0.63123435,-0.03895811,0.311106,-0.1538609,-0.44552928,-0.2118918,-0.39281735,-0.49387217,0.5899508,-0.066618346
FGR,0.29490614,-0.70415795,-0.8452974,-1.1484231,-1.1484632,-0.2587831,-0.4314714,-0.59177727,-0.60895246,0.7423226,-0.4809367,-1.0297219,0.473564,-0.52550006,-0.66663957,-0.9697652,-0.96980536,-0.08012524,-0.25281355,-0.4131194,-0.4302946,0.92098045,-0.30227885,-0.85106397
CFH,0.98860383,0.7263535,0.81489956,0.9455197,0.8906363,0.9217198,0.6377765,0.4906725,0.8099634,1.0385718,0.8286908,0.77207613,0.96551144,0.70326114,0.7918072,0.9224273,0.86754394,0.8986274,0.6146841,0.4675801,0.786871,1.0154794,0.80559844,0.74898374
FUCA2,-0.46984458,-0.03422504,-0.08555553,-0.17375495,0.074713536,-0.13621676,0.100962736,-0.021020817,-0.27825758,-0.29888627,0.364404,0.028127864,-0.48082095,-0.045201406,-0.0965319,-0.1847313,0.06373717,-0.14719313,0.08998637,-0.03199718,-0.28923395,-0.30986264,0.35342762,0.017151497
GCLC,0.39348307,0.5560169,0.55226946,0.45704833,0.37470996,0.34636605,0.3775577,0.64661133,0.38596952,0.47614428,0.64747846,0.6756521,0.5601058,0.7226397,0.7188922,0.62367105,0.5413327,0.5129888,0.54418045,0.8132341,0.5525923,0.642767,0.8141012,0.84227484
NFYA,-0.28858238,-0.17957108,-0.09730535,-0.10897685,-0.3019728,-0.32622197,-0.30843207,-0.18151958,-0.4016088,-0.14069018,0.08026025,0.1256041,-0.26140296,-0.15239166,-0.07012593,-0.08179743,-0.2747934,-0.29904255,-0.28125265,-0.15434016,-0.37442937,-0.11351076,0.10743967,0.15278351
STPG1,-0.68992287,-0.6659047,-0.12137723,-0.25467554,0.08900636,-0.5868166,-0.07648085,-0.19034246,-0.618154,-0.42921323,-0.11324155,-0.38733172,-0.4544124,-0.43039423,0.114133224,-0.019165084,0.3245168,-0.35130614,0.1590296,0.045167997,-0.38264352,-0.19370277,0.1222689,-0.15182127
