,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TSPAN6,-0.42301702,-0.5268252,-0.25648126,-0.26840678,0.27255222,-0.30105883,-0.5794502,-0.31776527,-0.48123047,0.093268596,-0.079814136,-0.18941511,-0.5029644,-0.60677254,-0.33642858,-0.3483541,0.19260488,-0.38100618,-0.65939754,-0.3977126,-0.5611778,0.013321258,-0.15976147,-0.26936245
DPM1,0.1664782,-0.02334833,0.087443665,0.040466584,-0.2590108,0.009523844,-0.012099782,-0.029822864,-0.17557499,0.19795452,0.23616146,0.15790899,0.108774334,-0.0810522,0.029739797,-0.017237283,-0.31671464,-0.04818002,-0.06980365,-0.08752673,-0.23327886,0.14025065,0.17845759,0.10020512
SCYL3,0.27694666,0.19230899,0.21814337,-0.1621951,0.25260112,0.12069144,0.29219142,0.015657486,-0.0011014261,0.26776257,0.44709772,0.43889335,0.2882934,0.20365572,0.2294901,-0.15084837,0.26394784,0.13203816,0.30353814,0.027004208,0.010245296,0.2791093,0.45844445,0.45024008
C1orf112,0.0072265444,-0.5758265,0.5504894,-0.119703025,0.23036109,-0.2346058,-0.5262742,-0.29263672,-0.47356227,-0.5746171,0.5092059,-0.14736326,0.025022868,-0.5580302,0.56828576,-0.1019067,0.24815741,-0.21680948,-0.50847787,-0.2748404,-0.45576596,-0.55682075,0.5270022,-0.12956694
FGR,0.29490614,-0.70415795,-0.8452974,-1.1484231,-1.1484632,-0.2587831,-0.4314714,-0.59177727,-0.60895246,0.7423226,-0.4809367,-1.0297219,0.21217063,-0.7868935,-0.92803293,-1.2311586,-1.2311988,-0.3415186,-0.51420695,-0.6745128,-0.691688,0.6595871,-0.56367224,-1.1124574
CFH,0.98860383,0.7263535,0.81489956,0.9455197,0.8906363,0.9217198,0.6377765,0.4906725,0.8099634,1.0385718,0.8286908,0.77207613,1.0095913,0.747341,0.835887,0.96650714,0.9116238,0.94270724,0.65876395,0.51166,0.83095086,1.0595593,0.8496783,0.7930636
FUCA2,-0.46984458,-0.03422504,-0.08555553,-0.17375495,0.074713536,-0.13621676,0.100962736,-0.021020817,-0.27825758,-0.29888627,0.364404,0.028127864,-0.5175688,-0.081949264,-0.13327976,-0.22147916,0.026989315,-0.18394098,0.053238515,-0.06874504,-0.3259818,-0.3466105,0.31667978,-0.019596357
GCLC,0.39348307,0.5560169,0.55226946,0.45704833,0.37470996,0.34636605,0.3775577,0.64661133,0.38596952,0.47614428,0.64747846,0.6756521,0.2822478,0.44478166,0.4410342,0.34581307,0.2634747,0.23513079,0.26632243,0.5353761,0.27473426,0.36490902,0.5362432,0.5644168
NFYA,-0.28858238,-0.17957108,-0.09730535,-0.10897685,-0.3019728,-0.32622197,-0.30843207,-0.18151958,-0.4016088,-0.14069018,0.08026025,0.1256041,-0.30615437,-0.19714306,-0.114877336,-0.12654883,-0.3195448,-0.34379396,-0.32600406,-0.19909157,-0.41918078,-0.15826216,0.06268826,0.10803211
STPG1,-0.68992287,-0.6659047,-0.12137723,-0.25467554,0.08900636,-0.5868166,-0.07648085,-0.19034246,-0.618154,-0.42921323,-0.11324155,-0.38733172,-0.7181007,-0.69408256,-0.14955509,-0.2828534,0.060828507,-0.61499447,-0.1046587,-0.21852031,-0.64633185,-0.45739108,-0.14141941,-0.41550958
NIPAL3,-0.5657524,-0.47616968,-0.21132562,-0.42489406,-0.58084005,-0.5887331,-0.2656794,-0.39966416,-0.725928,-0.5535634,-0.28255066,-0.23903498,-0.6242576,-0.5346749,-0.26983085,-0.4833993,-0.6393453,-0.6472383,-0.32418463,-0.4581694,-0.78443325,-0.61206865,-0.3410559,-0.29754022
LAS1L,-0.19010536,-0.056250814,-0.07957087,-0.1735639,-0.21211353,0.046786517,-0.030775033,-0.028340707,-0.09087227,-0.2844263,-0.07014523,-0.14634556,-0.22056933,-0.08671478,-0.11003484,-0.20402786,-0.2425775,0.01632255,-0.061239,-0.058804676,-0.12133624,-0.31489027,-0.1006092,-0.17680952
ENPP4,0.5238904,0.31190658,0.4185246,0.484893,0.20817116,0.44563586,0.13894966,0.21857423,0.06451704,0.4372543,0.6762368,0.32524094,0.6928561,0.48087227,0.58749026,0.65385866,0.37713683,0.61460155,0.30791533,0.38753992,0.23348272,0.60622,0.8452025,0.4942066
SEMA3F,-0.85696644,-1.2603722,-0.9606597,-0.83848196,-1.225932,-0.7435169,-0.55201054,-1.2457544,-1.4689541,-1.4520757,-1.1458699,-1.095418,-1.0659099,-1.4693155,-1.1696031,-1.0474254,-1.4348754,-0.9524603,-0.7609539,-1.4546977,-1.6778975,-1.6610191,-1.3548132,-1.3043613
