,control0,perturbed0
TSPAN6,-0.6611232161521912,-0.46441769022494556
TNMD,-0.036430902779102325,0.00808895311007897
DPM1,0.022279823198914528,0.12475272717808063
SCYL3,0.11050417274236679,0.027060583358009663
C1orf112,-0.010878344066441059,-0.024257717829944646
FGR,0.48839613795280457,-0.07291570752859111
CFH,0.7494373321533203,0.7027730925008655
FUCA2,-0.2999461889266968,-0.1700269378721714
GCLC,-0.03583851829171181,0.16664271106322606
NFYA,-0.241106316447258,-0.37045898189147314
STPG1,-0.3096418082714081,-0.5039670332024495
NIPAL3,0.007389649283140898,0.12501905128980678
LAS1L,-0.25559768080711365,-0.2392807646538131
ENPP4,0.1671755164861679,0.6241642743349075
SEMA3F,-0.08377417176961899,-0.5037750559548537
CFTR,-0.10059548169374466,-0.23059166449432572
ANKIB1,0.07588645070791245,0.09134325728761421
CYP51A1,-0.06667141616344452,-0.08078408091484258
KRIT1,0.12587444484233856,0.0708888491615653
RAD52,-0.22625122964382172,-0.07856557667255401
MYH16,-0.16447731852531433,-0.16774743930169886
BAD,-0.2611638605594635,-0.18206615056842565
LAP3,0.7373998165130615,0.6413209184383353
CD99,-0.13470670580863953,-0.19011346475842097
HS3ST1,-0.08526713401079178,-0.2835231342663368
AOC1,0.09022591263055801,0.006307052665700516
WNT16,-0.07557313144207001,-0.06780398569535465
HECW1,-0.36004751920700073,-0.24112374906738598
MAD1L1,-0.30327317118644714,-0.41183632801597314
LASP1,-0.1494172215461731,-0.1455238153474056
SNX11,-0.37957632541656494,-0.33119542005782326
TMEM176A,0.37425920367240906,0.1878019186357657
M6PR,-0.3324078321456909,-0.28139101519870263
KLHL13,0.22033721208572388,0.5115501672029495
CYP26B1,-0.1562746912240982,-0.27995244084546966
ICA1,-0.13108445703983307,0.0744564403158923
DBNDD1,-0.07525352388620377,-0.115040289137202
ALS2,0.05483662337064743,-0.13031059987843036
CASP10,0.07118292152881622,-0.16129222512245178
CFLAR,-0.048093125224113464,-0.11677833385765553
TFPI,0.5459131598472595,0.9448528118431568
NDUFAF7,-0.03856954723596573,-0.05950634490776186
RBM5,-0.2312326431274414,-0.1910187340263898
MTMR7,0.11610323935747147,0.09390545433852822
SLC7A2,0.43693119287490845,0.9373291040460269
ARF5,-0.3301420211791992,-0.2507768125583728
SARM1,-0.3145798444747925,-0.31753127063329883
POLDIP2,-0.09443005174398422,0.08408199610809486
PLXND1,-0.32650047540664673,-0.23466429797311622
AK2,-0.015723686665296555,-0.11821475839242339
CD38,0.4845699369907379,0.6014002683572471
FKBP4,-0.33501580357551575,-0.4359364374463136
KDM1A,-0.051941949874162674,-0.0724973939708434
RBM6,-0.12333665043115616,-0.7461433375875155
CAMKK1,-0.1897209882736206,-0.30488849300891163
RECQL,0.0001219664336531423,0.2685075063825934
VPS50,-0.0665416270494461,0.011996835193713196
HSPB6,0.06659425795078278,-0.4907068471113841
ARHGAP33,-0.38368743658065796,-0.46908441706715776
NDUFAB1,-0.1877019852399826,-0.24157503399377067
PDK4,-0.08284316211938858,0.007514145582293477
SLC22A16,0.01775582879781723,-0.08135617561638356
ZMYND10,0.030991289764642715,-0.1507208876311779
ABCB5,0.3613411486148834,0.1249212294816971
ARX,-0.02229827269911766,0.0026593192296180262
SLC25A13,-0.15632405877113342,-0.006509944253290684
ST7,-0.04659053310751915,0.03263653622319301
CDC27,-0.09958212822675705,0.29870850617686906
SLC4A1,-0.04754917323589325,-0.012105684758474428
CALCR,0.013655414804816246,0.022763056433662616
HCCS,-0.2376430183649063,-0.13045257578293484
DVL2,-0.3723357021808624,-0.42546466992547116
UPF1,-0.26237910985946655,-0.2751880118371143
SKAP2,0.022929782047867775,0.20674293376505376
SLC25A5,-0.32296261191368103,-0.08642015792429447
HOXA11,-0.015524826943874359,0.014331200967232387
POLR2J,-0.16774795949459076,-0.19311943310506952
DHX33,-0.12077697366476059,-0.08478003825803171
MEOX1,-0.9684979915618896,-0.9768806786974892
THSD7A,-0.06467024981975555,-0.3372589121262232
LIG3,-0.36782339215278625,-0.1635905717809995
RPAP3,0.03572513163089752,0.21498498283326625
ACSM3,0.6573745012283325,0.7182606945279986
CIAPIN1,-0.3005579113960266,-0.20021913889795542
SPPL2B,-0.49353617429733276,-0.704048785980558
COPZ2,0.10172545909881592,-0.050293755034605675
MSL3,-0.18633872270584106,-0.08751459525277218
CREBBP,-0.04436386376619339,-0.11778419017791748
TSPOAP1,-0.11302482336759567,-0.41642827577888963
MPO,0.011198245920240879,-0.12338433867941301
PON1,0.07053077220916748,0.14810116742349538
GCFC2,-0.07968192547559738,0.05994007078309854
WDR54,-0.19547997415065765,0.08199878881374995
CROT,-0.1804349720478058,0.2925362060467402
ABCB4,1.369063138961792,1.6878832249591749
KMT2E,-0.05161970481276512,0.20788984062771004
RHBDD2,-0.2902684807777405,-0.28217335081232403
SOX8,-0.047817885875701904,-0.005523695300022759
ZNF195,-0.25300684571266174,-0.5998521874348323
MYCBP2,0.21113450825214386,0.5922766115516425
FBXL3,0.08303184807300568,0.40009079401691755
ITGAL,0.37487107515335083,-0.007362036158641172
PDK2,-0.13205327093601227,-0.19059455152601004
ITGA3,-0.6084192395210266,-1.0367637825508913
ZFX,-0.10317939519882202,0.01168071249655138
LAMP2,-0.13609956204891205,0.26354278028011324
ITGA2B,-0.017206288874149323,-0.23832344847420853
ASB4,-0.012476934120059013,-0.15486174758601312
GDE1,0.08798554539680481,0.18687738416095573
CRLF1,-1.18294358253479,-1.2496956529677845
OSBPL7,-0.09206287562847137,-0.22688839410742123
TMEM98,-0.1882244050502777,0.1959723008175691
ABCC8,-0.1943146139383316,-0.24978610964802406
CACNG3,-0.0006974493735469878,-0.008622587328621497
TMEM132A,-0.697158694267273,-0.5104937825351954
AP2B1,-0.04163206368684769,-0.04129594414565266
TAC1,-0.006912401877343655,-0.0075807799051593365
ZNF263,-0.08953345566987991,-0.46418942088882126
CX3CL1,-0.5136083364486694,-0.9026549282173315
SPATA20,-0.33966970443725586,-0.2942459401267115
CACNA1G,-0.1267572045326233,0.20398067583640417
TNFRSF12A,-0.8731639385223389,-0.7803858739634355
DLX6,0.01320409495383501,0.0019053431441231321
MAP3K9,-0.2776464521884918,-0.4929833279301723
RALA,-0.14036044478416443,-0.06204847288317979
BAIAP2L1,-0.33685123920440674,-0.713088692476352
KDM7A,-0.010737204924225807,-0.08148469937732443
ETV1,-0.12564800679683685,0.01700026594723264
ALDH3B1,0.022316785529255867,0.13890908931692442
TTC22,-0.25003379583358765,-0.37692250022664664
PHTF2,0.0031100474298000336,0.21776185097793738
CCL26,-0.06170602887868881,-0.07369333553942851
FARP2,-0.15249377489089966,-0.5270073289672534
USH1C,-0.3986198902130127,-0.5640643858661254
GGCT,-0.0523839071393013,-0.06527015771910859
DBF4,0.19748036563396454,-0.14684345722198489
TBXA2R,-0.2840617001056671,-0.5848332485804955
IFRD1,-0.17540766298770905,-0.23206337173275338
LGALS14,-0.019634969532489777,-0.010511190380202606
COX10,-0.4065496027469635,-0.35972790663751464
GTF2IRD1,-0.2220928817987442,-0.19206793822880475
PAF1,-0.11954441666603088,-0.3897036712616682
VPS41,-0.09650762379169464,-0.11933449020919701
ARHGAP44,0.01495448499917984,-0.07378615711349994
ELAC2,-0.32109788060188293,-0.1198366475601991
SCIN,0.052885960787534714,-0.14286561956008276
ARSD,-0.0871858149766922,-0.12712449335182707
PNPLA4,-0.004935949109494686,0.14475743379443884
MYH13,-0.007526079658418894,0.004775480056802431
CDKL3,0.08011205494403839,0.0754627892524392
UPP2,0.06612007319927216,0.3379180991401275
MARK4,-0.268405020236969,-0.4341403062144915
PROM1,-0.04566909372806549,-0.032810370129300284
CCDC124,-0.2693305015563965,-0.5250419323643049
PAFAH1B1,-0.19754616916179657,-0.03586781794826191
NOS2,0.26994556188583374,0.12032233625650407
DNAH9,0.010990608483552933,-0.019092575542163103
SLC13A2,-0.06473690271377563,-0.06972998980587969
GAS7,0.8837557435035706,0.9974719608357797
TRAPPC6A,-0.04768235608935356,-0.34162770261367165
MATK,0.35830265283584595,-0.23171919286251064
CD79B,0.05020095780491829,-0.07611143837372461
SCN4A,0.018828336149454117,-0.03946822521587213
ST7L,-0.04082376882433891,-0.3366967648267746
TKTL1,0.005530405789613724,0.0047719143070329055
PAX6,-0.2559184432029724,-0.2650583833223209
RPUSD1,-0.4926115870475769,-0.5481786918748791
RHBDF1,-0.2555834949016571,-0.044244424005349475
LUC7L,-0.24511808156967163,-0.6237792452176412
CACNA2D2,-0.07160326093435287,-0.15586871610333522
BAIAP3,-0.10891968011856079,-0.4008918551107248
TSR3,-0.30459532141685486,-0.4361659212658803
PIGQ,-0.4829656183719635,-0.5521438569878228
CRAMP1,-0.25324225425720215,-0.3684076967338721
TEAD3,-0.22647570073604584,-0.5261751326421897
SELE,0.34436818957328796,0.45116397129992647
DNAJC11,-0.18693073093891144,-0.3789414960891008
FMO3,0.5690131783485413,0.6968375200793768
MYLIP,-0.2666069269180298,0.22155195474624634
NOX1,0.000847101560793817,0.017117475809451815
SYN1,-0.07055506110191345,-0.08770079884367685
JARID2,-0.101348377764225,-0.03444534247876921
CDKL5,-0.1047167181968689,-0.09607404715400965
CAMK1G,0.15446552634239197,0.1556082280961467
CDK11A,-0.2540968358516693,-0.6257551444073518
NADK,-0.2422071099281311,-0.4401787808785836
TFAP2B,0.0069170561619102955,-0.005385084000105659
TFAP2D,-0.006166413426399231,-0.0028489317330240736
DLEC1,-0.15466181933879852,-0.834895018239816
CYTH3,0.18010418117046356,0.12434133834516009
ADAM22,-0.10475566238164902,-0.051212757080793384
SYPL1,-0.25866806507110596,0.31364597926537197
CYB561,-0.09624461084604263,-0.08082317499938654
SPAG9,-0.19905897974967957,0.11427336732546489
CELSR3,-0.27454817295074463,0.33299967547257736
AASS,0.09493595361709595,0.1673915535211563
PLEKHG6,-0.22531643509864807,-0.19474225901649334
SS18L2,-0.013352775014936924,-0.2459047443543871
MPND,-0.21374358236789703,-0.35145019261787336
MGST1,-0.10996078699827194,-0.10968427381424893
CRY1,-0.2838059067726135,-0.4847403691460689
PGLYRP1,0.0,-0.002602996314271877
NFIX,0.13156862556934357,-0.02082752672334512
ST3GAL1,0.04618455469608307,0.2234162911772728
MMP25,0.14938130974769592,-0.05705623527367909
IL32,0.37935733795166016,-0.05627686977386476
PKD1,-0.41121548414230347,-0.16724518164992333
MAPK8IP2,-0.908649206161499,-0.7545262095828851
MED24,-0.38795530796051025,-0.27484271513919034
RHOBTB2,-0.5112143754959106,-0.5713981139784058
HEATR5B,-0.3199418783187866,-0.25600006481011706
SEC62,0.0698791965842247,0.5691317729651928
RPS20,-0.1267671138048172,-0.2781555031736692
CSDE1,0.03268624469637871,0.06403290645296997
UBE3C,-0.23379170894622803,-0.1793708398627738
REV3L,0.08161066472530365,0.19224001943560626
TENM1,0.7125297784805298,1.0745669580996036
PAX7,-0.0008612532401457429,6.663325336072983e-05
MASP2,0.8069484829902649,0.9318761525675654
IYD,0.09693749994039536,0.4135698432723681
FAM76A,-0.12332353740930557,-0.1772818163347741
TRAF3IP3,0.21942490339279175,-0.21498257319132485
POMT2,-0.5061569809913635,-0.8569872292379539
VTA1,0.03353142738342285,0.3638220392167568
MLXIPL,0.21079611778259277,-0.47977201938629155
