,control0,perturbed0
TSPAN6,-0.6611232,-0.62917036
TNMD,-0.036430903,-0.013555586
DPM1,0.022279823,0.13417436
SCYL3,0.11050417,0.20127983
C1orf112,-0.010878344,0.22048987
FGR,0.48839614,0.32124382
CFH,0.74943733,0.8196218
FUCA2,-0.2999462,-0.23628804
GCLC,-0.03583852,0.064216
NFYA,-0.24110632,-0.2098999
STPG1,-0.3096418,-0.3077407
NIPAL3,0.0073896493,-0.044583872
LAS1L,-0.25559768,-0.22498876
ENPP4,0.16717552,0.3072642
SEMA3F,-0.08377417,-0.08238011
CFTR,-0.10059548,-0.17829563
ANKIB1,0.07588645,0.112758934
CYP51A1,-0.066671416,0.010130636
KRIT1,0.12587444,0.19175595
RAD52,-0.22625123,-0.17377485
MYH16,-0.16447732,-0.17317443
BAD,-0.26116386,-0.24739021
LAP3,0.7373998,0.81815815
CD99,-0.1347067,-0.08591278
HS3ST1,-0.085267134,-0.1266539
AOC1,0.09022591,0.086382434
WNT16,-0.07557313,-0.06448544
HECW1,-0.36004752,-0.29288775
MAD1L1,-0.30327317,-0.3080094
LASP1,-0.14941722,-0.11234076
SNX11,-0.37957633,-0.30484924
TMEM176A,0.3742592,0.48014292
M6PR,-0.33240783,-0.27498406
KLHL13,0.22033721,0.4298792
CYP26B1,-0.15627469,-0.2425879
ICA1,-0.13108446,-0.1409033
DBNDD1,-0.075253524,-0.11787471
ALS2,0.054836623,0.05682281
CASP10,0.07118292,0.030520167
CFLAR,-0.048093125,-0.016358472
TFPI,0.54591316,0.67190444
NDUFAF7,-0.038569547,0.07564269
RBM5,-0.23123264,-0.16754712
MTMR7,0.11610324,0.3163769
SLC7A2,0.4369312,0.46565172
ARF5,-0.33014202,-0.2066896
SARM1,-0.31457984,-0.23114741
POLDIP2,-0.09443005,-0.01762256
PLXND1,-0.32650048,-0.2279294
AK2,-0.015723687,0.028488863
CD38,0.48456994,0.64625764
FKBP4,-0.3350158,-0.33083802
KDM1A,-0.05194195,0.0041345134
RBM6,-0.12333665,-0.17658138
CAMKK1,-0.18972099,-0.057917103
RECQL,0.000121966434,0.0593807
VPS50,-0.06654163,0.02442947
HSPB6,0.06659426,-0.04383014
ARHGAP33,-0.38368744,-0.42047492
NDUFAB1,-0.18770199,-0.12014154
PDK4,-0.08284316,-0.068910345
SLC22A16,0.017755829,-0.011169307
ZMYND10,0.03099129,0.031772695
ABCB5,0.36134115,0.25888324
ARX,-0.022298273,-0.026903987
SLC25A13,-0.15632406,-0.091830574
ST7,-0.046590533,0.057698693
CDC27,-0.09958213,0.037003018
SLC4A1,-0.047549173,-0.06699333
CALCR,0.013655415,0.02790703
HCCS,-0.23764302,-0.2234308
DVL2,-0.3723357,-0.37576884
UPF1,-0.2623791,-0.31612957
SKAP2,0.022929782,0.045697093
SLC25A5,-0.3229626,-0.2371087
HOXA11,-0.015524827,0.02545435
POLR2J,-0.16774796,-0.14266169
DHX33,-0.12077697,-0.1113101
MEOX1,-0.968498,-0.88451546
THSD7A,-0.06467025,-0.11270341
LIG3,-0.3678234,-0.31921104
RPAP3,0.03572513,0.07922231
ACSM3,0.6573745,0.7043485
CIAPIN1,-0.3005579,-0.21247795
SPPL2B,-0.49353617,-0.5566195
COPZ2,0.10172546,0.17405146
MSL3,-0.18633872,-0.10097694
CREBBP,-0.044363864,0.010860652
TSPOAP1,-0.11302482,-0.2558076
MPO,0.011198246,-0.060532093
PON1,0.07053077,0.18462804
GCFC2,-0.079681925,0.12974983
WDR54,-0.19547997,-0.08865553
CROT,-0.18043497,-0.0986478
ABCB4,1.3690631,1.4725925
KMT2E,-0.051619705,0.031998035
RHBDD2,-0.29026848,-0.2106091
SOX8,-0.047817886,-0.017094351
ZNF195,-0.25300685,-0.23722199
MYCBP2,0.21113451,0.28498358
FBXL3,0.08303185,0.23047781
