,control0,perturbed0
TSPAN6,-0.6611232161521912,-0.6287852709492048
TNMD,-0.036430902779102325,-0.0364472172766303
DPM1,0.022279823198914528,0.03503780853934586
SCYL3,0.11050417274236679,0.09106353043268124
C1orf112,-0.010878344066441059,-0.019207070598349675
FGR,0.48839613795280457,0.36814120163520175
CFH,0.7494373321533203,0.7310259537266878
FUCA2,-0.2999461889266968,-0.2728441942483187
GCLC,-0.03583851829171181,0.005150472993652025
NFYA,-0.241106316447258,-0.27673337186376257
STPG1,-0.3096418082714081,-0.35216976118584475
NIPAL3,0.007389649283140898,0.03911449216927091
LAS1L,-0.25559768080711365,-0.25364649153586166
ENPP4,0.1671755164861679,0.2592590771615505
SEMA3F,-0.08377417176961899,-0.1673414131005605
CFTR,-0.10059548169374466,-0.1301180480668942
ANKIB1,0.07588645070791245,0.08166532473502836
CYP51A1,-0.06667141616344452,-0.07737274831160904
KRIT1,0.12587444484233856,0.11357958334265277
RAD52,-0.22625122964382172,-0.1907876462986072
MYH16,-0.16447731852531433,-0.16583161568269134
BAD,-0.2611638605594635,-0.24218476936221123
LAP3,0.7373998165130615,0.7130703778316577
CD99,-0.13470670580863953,-0.14497650228149722
HS3ST1,-0.08526713401079178,-0.12084432663396001
AOC1,0.09022591263055801,0.07151214263091485
WNT16,-0.07557313144207001,-0.07413205704457747
HECW1,-0.36004751920700073,-0.3276166116197904
MAD1L1,-0.30327317118644714,-0.32403128196795783
LASP1,-0.1494172215461731,-0.14990126615933452
SNX11,-0.37957632541656494,-0.36713309899593394
TMEM176A,0.37425920367240906,0.33642497348288697
M6PR,-0.3324078321456909,-0.32797942364607785
KLHL13,0.22033721208572388,0.28068249449133875
CYP26B1,-0.1562746912240982,-0.1797023979946971
ICA1,-0.13108445703983307,-0.09092438196142515
DBNDD1,-0.07525352388620377,-0.08510800205791991
ALS2,0.05483662337064743,0.014095644280314443
CASP10,0.07118292152881622,0.02419828288257122
CFLAR,-0.048093125224113464,-0.060360089813669526
TFPI,0.5459131598472595,0.6247756073872248
NDUFAF7,-0.03856954723596573,-0.04521846796269528
RBM5,-0.2312326431274414,-0.21843668303141991
MTMR7,0.11610323935747147,0.1130775561730843
SLC7A2,0.43693119287490845,0.539573909342289
ARF5,-0.3301420211791992,-0.3088132144262393
SARM1,-0.3145798444747925,-0.31282742459249374
POLDIP2,-0.09443005174398422,-0.051621043433745704
PLXND1,-0.32650047540664673,-0.3049330802013477
AK2,-0.015723686665296555,-0.038574183856447536
CD38,0.4845699369907379,0.5061768408554296
FKBP4,-0.33501580357551575,-0.3518427766697035
KDM1A,-0.051941949874162674,-0.05839343572345873
RBM6,-0.12333665043115616,-0.2543374538421631
CAMKK1,-0.1897209882736206,-0.21808459069579839
RECQL,0.0001219664336531423,0.057063028893996184
VPS50,-0.0665416270494461,-0.04779000630272397
HSPB6,0.06659425795078278,-0.03710013094047705
ARHGAP33,-0.38368743658065796,-0.39262408927703896
NDUFAB1,-0.1877019852399826,-0.20059675878534713
PDK4,-0.08284316211938858,-0.06752594293405612
SLC22A16,0.01775582879781723,-0.004606410736838977
ZMYND10,0.030991289764642715,-0.009081832195321722
ABCB5,0.3613411486148834,0.3076458677649498
ARX,-0.02229827269911766,-0.018498108902713285
SLC25A13,-0.15632405877113342,-0.1319366196092839
ST7,-0.04659053310751915,-0.02789794219036897
CDC27,-0.09958212822675705,-0.01863759184877077
SLC4A1,-0.04754917323589325,-0.04231049275646607
CALCR,0.013655414804816246,0.017713663753238507
HCCS,-0.2376430183649063,-0.2106819392492374
DVL2,-0.3723357021808624,-0.38252883213572203
UPF1,-0.26237910985946655,-0.26187471003164925
SKAP2,0.022929782047867775,0.06000330696503321
SLC25A5,-0.32296261191368103,-0.27769254545370736
HOXA11,-0.015524826943874359,-0.010173023057480652
POLR2J,-0.16774795949459076,-0.16948091407248284
DHX33,-0.12077697366476059,-0.11268544960378979
MEOX1,-0.9684979915618896,-0.9812084366412213
THSD7A,-0.06467024981975555,-0.12755051304896672
LIG3,-0.36782339215278625,-0.3206078035136064
RPAP3,0.03572513163089752,0.07535198132197063
ACSM3,0.6573745012283325,0.6613343042243893
CIAPIN1,-0.3005579113960266,-0.2771262927601735
SPPL2B,-0.49353617429733276,-0.5314680674656604
COPZ2,0.10172545909881592,0.07144286228964726
MSL3,-0.18633872270584106,-0.1642841236665845
CREBBP,-0.04436386376619339,-0.06088414937257767
TSPOAP1,-0.11302482336759567,-0.1725793905556202
MPO,0.011198245920240879,-0.02040674282858769
PON1,0.07053077220916748,0.08093767985895586
GCFC2,-0.07968192547559738,-0.04874247486392657
WDR54,-0.19547997415065765,-0.13781598433852196
CROT,-0.1804349720478058,-0.07844801396131515
ABCB4,1.369063138961792,1.430237422324717
KMT2E,-0.05161970481276512,0.0020766815791527435
RHBDD2,-0.2902684807777405,-0.2855863073142245
SOX8,-0.047817885875701904,-0.040186197993656
ZNF195,-0.25300684571266174,-0.3248098462820053
MYCBP2,0.21113450825214386,0.28657174048324424
FBXL3,0.08303184807300568,0.14404004551470279
ITGAL,0.37487107515335083,0.2974426592389743
PDK2,-0.13205327093601227,-0.14203965334842603
ITGA3,-0.6084192395210266,-0.6962905844052633
ZFX,-0.10317939519882202,-0.0860707735720401
LAMP2,-0.13609956204891205,-0.057999729116757714
ITGA2B,-0.017206288874149323,-0.06319137997925281
ASB4,-0.012476934120059013,-0.03690100163221359
GDE1,0.08798554539680481,0.11223044109841188
CRLF1,-1.18294358253479,-1.205285802980264
OSBPL7,-0.09206287562847137,-0.11944545687486728
TMEM98,-0.1882244050502777,-0.10626007616519928
ABCC8,-0.1943146139383316,-0.20651822437842687
CACNG3,-0.0006974493735469878,-0.0025051853774736323
TMEM132A,-0.697158694267273,-0.658869723106424
AP2B1,-0.04163206368684769,-0.03996657408230628
TAC1,-0.006912401877343655,-0.00761753271121582
ZNF263,-0.08953345566987991,-0.16416166983544828
CX3CL1,-0.5136083364486694,-0.5950579633315405
SPATA20,-0.33966970443725586,-0.3293607416873177
CACNA1G,-0.1267572045326233,-0.05875803232192993
TNFRSF12A,-0.8731639385223389,-0.8520255334675312
DLX6,0.01320409495383501,0.013134360685702026
MAP3K9,-0.2776464521884918,-0.32205753152569133
RALA,-0.14036044478416443,-0.1256440892427539
BAIAP2L1,-0.33685123920440674,-0.4183916355172793
KDM7A,-0.010737204924225807,-0.03474793154746294
ETV1,-0.12564800679683685,-0.10081162011871736
ALDH3B1,0.022316785529255867,0.04740892698367437
TTC22,-0.25003379583358765,-0.2762186203151941
PHTF2,0.0031100474298000336,0.044432634487748146
CCL26,-0.06170602887868881,-0.06233448506100103
FARP2,-0.15249377489089966,-0.23106664369503657
USH1C,-0.3986198902130127,-0.43295527895291647
GGCT,-0.0523839071393013,-0.0575885949646666
DBF4,0.19748036563396454,0.11886755526065826
TBXA2R,-0.2840617001056671,-0.33947354356447856
IFRD1,-0.17540766298770905,-0.18469224385917188
LGALS14,-0.019634969532489777,-0.017480983093749576
COX10,-0.4065496027469635,-0.3933216912051042
GTF2IRD1,-0.2220928817987442,-0.21955740047463526
PAF1,-0.11954441666603088,-0.17728915351132551
VPS41,-0.09650762379169464,-0.10074389059445821
ARHGAP44,0.01495448499917984,0.00017239743416818526
ELAC2,-0.32109788060188293,-0.2733138702809811
SCIN,0.052885960787534714,0.003925252705812454
ARSD,-0.0871858149766922,-0.10158929312601686
PNPLA4,-0.004935949109494686,0.03002594131976366
MYH13,-0.007526079658418894,-0.0041728746611624954
CDKL3,0.08011205494403839,0.07800032432035854
UPP2,0.06612007319927216,0.1188196137547493
MARK4,-0.268405020236969,-0.2999663880715768
PROM1,-0.04566909372806549,-0.042589017996639694
CCDC124,-0.2693305015563965,-0.3166397006561359
PAFAH1B1,-0.19754616916179657,-0.1637341951330503
NOS2,0.26994556188583374,0.23012558594346047
DNAH9,0.010990608483552933,0.005625553852102409
SLC13A2,-0.06473690271377563,-0.07134772261488251
GAS7,0.8837557435035706,0.9010869761385645
TRAPPC6A,-0.04768235608935356,-0.10825167298316955
MATK,0.35830265283584595,0.23665849467118583
CD79B,0.05020095780491829,0.022533752272526422
SCN4A,0.018828336149454117,0.0026520356846352414
ST7L,-0.04082376882433891,-0.10332628960410754
TKTL1,0.005530405789613724,0.006157188713890112
PAX6,-0.2559184432029724,-0.2634098853532729
RPUSD1,-0.4926115870475769,-0.5015367396951963
RHBDF1,-0.2555834949016571,-0.20628939121961593
LUC7L,-0.24511808156967163,-0.32408223301172256
CACNA2D2,-0.07160326093435287,-0.09036342209825914
BAIAP3,-0.10891968011856079,-0.17631832336386044
TSR3,-0.30459532141685486,-0.32771509066224097
PIGQ,-0.4829656183719635,-0.49153424424196906
CRAMP1,-0.25324225425720215,-0.2846772531668345
TEAD3,-0.22647570073604584,-0.28623478064934416
SELE,0.34436818957328796,0.36799000898996986
DNAJC11,-0.18693073093891144,-0.22359016885360083
FMO3,0.5690131783485413,0.5890653100330383
MYLIP,-0.2666069269180298,-0.15024974693854648
NOX1,0.000847101560793817,0.0017242976231500507
SYN1,-0.07055506110191345,-0.07875299492540459
JARID2,-0.101348377764225,-0.08848222585317368
CDKL5,-0.1047167181968689,-0.10054205289828436
CAMK1G,0.15446552634239197,0.15681226658343803
CDK11A,-0.2540968358516693,-0.327604778110981
NADK,-0.2422071099281311,-0.2784717472270131
TFAP2B,0.0069170561619102955,0.004600819464152058
TFAP2D,-0.006166413426399231,-0.005582574021317063
DLEC1,-0.15466181933879852,-0.2873928092420101
CYTH3,0.18010418117046356,0.1725483654308846
ADAM22,-0.10475566238164902,-0.09009496634826064
SYPL1,-0.25866806507110596,-0.1426861713329951
CYB561,-0.09624461084604263,-0.08961985106579959
SPAG9,-0.19905897974967957,-0.1349262816210588
CELSR3,-0.27454817295074463,-0.14930283576250075
AASS,0.09493595361709595,0.11418519703050455
PLEKHG6,-0.22531643509864807,-0.21593362210163225
SS18L2,-0.013352775014936924,-0.0631313281133771
MPND,-0.21374358236789703,-0.24678906941165527
MGST1,-0.10996078699827194,-0.11089691347551707
CRY1,-0.2838059067726135,-0.32211707656582195
PGLYRP1,0.0,0.00022960401523353842
NFIX,0.13156862556934357,0.09798842705786229
ST3GAL1,0.04618455469608307,0.08588380490740141
MMP25,0.14938130974769592,0.1076530896127224
IL32,0.37935733795166016,0.2852065657575925
PKD1,-0.41121548414230347,-0.36086382530629635
MAPK8IP2,-0.908649206161499,-0.8711513126889865
MED24,-0.38795530796051025,-0.3620730884373188
RHOBTB2,-0.5112143754959106,-0.5256162942697604
HEATR5B,-0.3199418783187866,-0.3027902320648233
SEC62,0.0698791965842247,0.16962195535500846
RPS20,-0.1267671138048172,-0.15775162571420273
CSDE1,0.03268624469637871,0.03726397357143772
UBE3C,-0.23379170894622803,-0.21994862176167468
REV3L,0.08161066472530365,0.09946717365334432
TENM1,0.7125297784805298,0.7859026941160361
PAX7,-0.0008612532401457429,-0.0020731848368692836
MASP2,0.8069484829902649,0.8332470828046401
IYD,0.09693749994039536,0.16149151449402172
FAM76A,-0.12332353740930557,-0.13558802750582497
TRAF3IP3,0.21942490339279175,0.12331314037243525
POMT2,-0.5061569809913635,-0.5725273239115873
VTA1,0.03353142738342285,0.09902159410218397
MLXIPL,0.21079611778259277,0.07044022927681606
BAZ1B,-0.06437075883150101,-0.07217725420487113
RANBP9,0.015095447190105915,0.016321853986300993
ETV7,0.5498166680335999,0.4933658426006635
SPRTN,-0.062367308884859085,-0.06572021975298412
METTL13,-0.29872792959213257,-0.2814667074553048
DYRK4,-0.12043654173612595,-0.15069773768385253
ZNF207,-0.03897227719426155,0.008039439221223195
UQCRC1,-0.37341180443763733,-0.34991146785517535
STARD3NL,-0.10695763677358627,-0.0508865013718605
CD9,-0.25884339213371277,-0.21686181562642257
HHATL,-0.018500493839383125,-0.04159839563071728
NCAPD2,-0.07270616292953491,-0.0670141191900863
IFFO1,-0.15658272802829742,-0.20355373627195755
GIPR,-0.30001100897789,-0.2303457630177339
PHF7,-0.20488063991069794,-0.25040870668987436
SEMA3G,-0.12435425072908401,-0.18148555867373944
NISCH,-0.14678139984607697,-0.1934172467639049
STAB1,0.17755058407783508,0.08339093377192815
FUZ,-0.039023127406835556,-0.056636214640457185
SLC6A13,-0.053394511342048645,-0.1572784125804901
IDS,-0.31200018525123596,-0.2470884253581365
PRSS3,-0.060455501079559326,-0.049871305593599875
ZNF200,-0.08698415756225586,-0.11418112975855668
CD4,0.8131861090660095,0.7929746906311872
LRRC23,-0.04490970820188522,-0.04096581899405768
BTK,0.4063926339149475,0.3226259082555771
HFE,0.0024103750474750996,0.04568657747780283
SCMH1,-0.0787377879023552,-0.15166388054688773
FYN,0.5733445286750793,0.546403617784381
HIVEP2,0.014343506656587124,-0.0843822851156195
FMO1,-0.37371692061424255,-0.31590953171253205
LYPLA2,-0.3951127529144287,-0.39473992959829046
CLCN6,-0.04437191039323807,-0.13940381209055583
MRC2,-0.09156356751918793,-0.11248698110381762
NME1-NME2,-0.37711119651794434,-0.32062888965010644
SLC6A7,-0.006794525310397148,-0.014485490508377552
TSPAN9,-0.13091719150543213,-0.1141375477736195
APBA3,-0.3198445737361908,-0.3127251031730945
MKS1,-0.15850865840911865,-0.1567706829897361
ABHD5,-0.11319766938686371,-0.06389209553599358
ANOS1,-0.3129682242870331,-0.29558761334628797
AKAP8L,-0.24357399344444275,-0.30903704712788266
MBTD1,0.1588924527168274,0.1887425707032283
UTP18,-0.13756728172302246,-0.11820784658193588
RNF216,-0.13177932798862457,-0.14558452758938073
TTC19,-0.18724067509174347,-0.15586380623281001
PTBP1,-0.35326138138771057,-0.37982821514209114
DPF1,-0.15526984632015228,-0.14501820150762795
SYT7,0.3776217997074127,0.49021911720434824
LARS2,-0.13981841504573822,-0.09021250369648139
PIK3C2A,0.1305820196866989,0.16305789245913427
PLAUR,-0.7555280923843384,-0.7378785846134027
ANLN,-0.3642512559890747,-0.40380575160185495
WIZ,-0.34813931584358215,-0.34989834808099357
RABGAP1,-0.03509189188480377,-0.0603516099974513
DCN,1.6292507648468018,1.7033835356434186
QPCTL,-0.17432013154029846,-0.18222107061107332
PPP5C,-0.42602652311325073,-0.42548430085686656
CEP68,-0.16241039335727692,-0.13259378944834074
MAP4K3,0.12601742148399353,0.17950196775297322
ZBTB32,-0.004857577383518219,-0.015085979962411027
TYROBP,0.5315688252449036,0.470320533712705
GABRA3,-0.0036474335938692093,-0.002563447898501181
BRCA1,-0.2646932601928711,-0.23526597617844042
ERCC1,-0.20707789063453674,-0.17805311953028044
CD22,-0.042963143438100815,-0.07237019936243694
SEMA3B,0.24833223223686218,0.14858036885658898
MBTPS2,-0.03634893521666527,0.07867713272571564
PRICKLE3,-0.2397269904613495,-0.28484118171036243
LTF,0.045163966715335846,0.0344030838770171
EXTL3,-0.33104026317596436,-0.34711669385433197
NR1H4,-0.11441196501255035,-0.17382888620098433
ELOVL5,-0.3336290419101715,-0.2549453323086103
KDM5D,-0.2502395212650299,-0.1807400127251943
CALCOCO1,-0.17829950153827667,-0.17387993577479696
MAP4K5,0.09773997217416763,0.10374839226715267
EHD3,0.304551899433136,0.42758444249629973
MAN2B2,-0.20799663662910461,-0.19880318501964211
SLC7A14,-0.17194724082946777,-0.25139405702551204
CLDN11,1.03959059715271,0.9677862148731947
SLC25A39,-0.35956963896751404,-0.3425361915801962
MVP,-0.3773750960826874,-0.42427557073533534
NUB1,-0.06631486862897873,-0.1441536732017994
PGM3,-0.21301347017288208,-0.17234563032786052
RWDD2A,-0.011198962107300758,-0.04302205977340539
CLK1,0.15667901933193207,0.18447234419484934
POLR3B,-0.1252739578485489,-0.1252873390398842
ANGEL1,-0.061252884566783905,-0.0250512819737196
RNF14,-0.18933191895484924,-0.1504529577369491
DNASE1L1,-0.18891362845897675,-0.1634226206690073
DDX11,-0.5413722395896912,-0.5956190211698413
HEBP1,0.08816057443618774,0.07115740931282441
GPRC5A,0.1527601182460785,0.20333704054355622
