,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TSPAN6,0.47272742,-0.4964316,-0.20587523,-0.30924007,-0.25424173,-0.13990664,0.30188715,-0.32468593,0.17127167,-0.35656694,-0.20725206,-0.36772045,0.48559958,-0.48355943,-0.19300309,-0.2963679,-0.24136959,-0.1270345,0.3147593,-0.31181377,0.18414381,-0.34369478,-0.19437991,-0.3548483
DPM1,0.15969121,0.19854003,0.1569036,0.009665041,0.20496015,0.03096697,-0.19489765,-0.10706618,0.50408906,0.30650935,0.21975026,0.07695819,0.19476208,0.2336109,0.19197446,0.04473591,0.24003102,0.06603783,-0.15982679,-0.07199531,0.5391599,0.3415802,0.25482112,0.11202905
SCYL3,0.07945265,-0.01460139,0.06844829,0.103835,-0.044649027,0.0318129,0.24689864,-0.037633866,0.10148438,0.16816899,0.27909726,0.08030759,0.11910189,0.02504785,0.10809753,0.14348423,-0.0049997866,0.07146214,0.28654787,0.0020153746,0.14113362,0.20781824,0.3187465,0.11995683
C1orf112,0.18844728,0.09186542,-0.16199163,-0.204133,0.08424271,-0.3423757,-0.01753983,-0.24623007,0.2644041,-0.036069874,0.13156198,0.13141394,0.24243954,0.14585768,-0.10799937,-0.15014075,0.13823497,-0.28838342,0.036452428,-0.19223781,0.31839633,0.017922383,0.18555424,0.1854062
FGR,-0.55652326,0.31662777,-0.28348845,-0.35096344,0.34788308,-0.0025740738,-0.10030888,-0.36683047,0.49230322,-0.17868255,-0.44118732,-0.59201884,-0.5623779,0.31077313,-0.2893431,-0.35681808,0.34202844,-0.00842872,-0.106163524,-0.3726851,0.4864486,-0.1845372,-0.44704196,-0.5978735
CFH,1.0241609,0.70811194,0.72928965,0.6879805,0.7932942,0.4540533,0.3326989,0.62148076,0.91286546,0.5079988,0.5458511,0.78677994,1.0664958,0.7504468,0.7716245,0.7303153,0.83562905,0.4963882,0.3750338,0.6638156,0.9552003,0.5503337,0.58818597,0.8291148
FUCA2,-0.0341556,0.0025466732,0.11980184,-0.09138159,-0.09248674,0.18561396,0.084713235,-0.06691689,-0.0465557,0.09797977,0.03736854,-0.0052190446,-0.15440282,-0.117700554,-0.00044538826,-0.21162882,-0.21273397,0.06536673,-0.035533994,-0.18716413,-0.16680293,-0.02226746,-0.082878694,-0.12546627
GCLC,0.15595385,0.5155332,0.3215177,0.16393793,0.12259752,0.36647552,0.46976218,0.18866982,0.2413386,0.35086036,0.22406307,0.30932832,0.15512994,0.5147093,0.3206938,0.16311401,0.1217736,0.3656516,0.46893826,0.1878459,0.24051468,0.35003644,0.22323915,0.3085044
NFYA,-0.059690107,-0.028126799,-0.093844995,-0.17571135,-0.36472613,-0.091874346,-0.084989384,0.008956635,-0.10334451,-0.40908507,-0.10520272,-0.2750362,-0.07280353,-0.04124022,-0.10695842,-0.18882477,-0.37783954,-0.10498777,-0.09810281,-0.004156786,-0.11645793,-0.42219847,-0.118316144,-0.2881496
STPG1,-0.18684626,0.009031664,0.12293062,-0.44342232,-0.3070981,-0.15764254,0.12211767,0.07945853,-0.2173419,-0.7092302,0.18403167,-0.650432,-0.14341667,0.05246125,0.16636021,-0.39999273,-0.2636685,-0.11421296,0.16554725,0.12288812,-0.17391232,-0.6658006,0.22746125,-0.6070024
NIPAL3,-0.91156113,-0.08457885,0.24475601,-0.5981195,-0.11415077,-0.29132062,0.07224488,-0.31044692,-0.9337826,-0.4666246,-0.0033249287,-0.70460093,-0.9314859,-0.10450362,0.22483124,-0.61804426,-0.13407554,-0.31124538,0.052320115,-0.33037168,-0.95370734,-0.48654935,-0.023249697,-0.7245257
LAS1L,-0.33615977,-0.060692206,-0.03216492,-0.16638719,-0.26735216,-0.2855663,-0.08684855,0.20669772,-0.11048398,0.061373893,-0.094134845,-0.3618564,-0.22355536,0.051912203,0.08043949,-0.053782776,-0.15474775,-0.17296189,0.02575586,0.31930214,0.0021204278,0.1739783,0.018469565,-0.24925199
ENPP4,0.68313664,0.00014066657,0.1508175,0.045174297,0.10068367,0.04405469,0.08296778,-0.06722466,0.58147895,0.06951373,0.27022287,0.23916866,0.6711684,-0.011827601,0.13884923,0.03320603,0.0887154,0.032086425,0.07099951,-0.07919293,0.5695107,0.05754546,0.25825462,0.22720039
SEMA3F,-2.0069318,-0.7281297,-0.50787234,-1.1507721,-0.7577314,-1.3674669,-0.4461774,-0.46476284,-1.5013554,-1.0694506,-0.83864474,-1.0621665,-1.882169,-0.60336685,-0.38310954,-1.0260093,-0.63296854,-1.2427042,-0.3214146,-0.34000003,-1.3765926,-0.94468784,-0.71388197,-0.9374037
CFTR,0.27963454,-0.10349345,-0.1366936,-0.54273725,-0.19516234,-0.27416795,0.5417601,-0.6628841,-0.5566554,-0.5669742,0.015868647,-0.8356461,-0.07882935,-0.46195734,-0.49515748,-0.9012011,-0.55362624,-0.63263184,0.1832962,-1.021348,-0.9151193,-0.9254381,-0.34259525,-1.1941099
ANKIB1,-0.39253804,0.10776983,0.1283834,-0.5671371,-0.21638279,-0.24739042,0.08579644,-0.37240574,-0.3114746,-0.44306868,-0.111487046,-0.29159033,-0.43328938,0.06701848,0.087632045,-0.60788846,-0.25713414,-0.28814176,0.04504509,-0.41315708,-0.35222593,-0.48382002,-0.1522384,-0.33234167
CYP51A1,0.53970844,0.8358878,0.79938567,0.93211234,0.94233096,0.929547,0.99507475,0.48779798,1.1991787,0.9939206,0.9130596,0.94159204,0.569252,0.86543137,0.82892925,0.9616559,0.97187454,0.9590906,1.0246183,0.51734155,1.2287222,1.0234642,0.9426032,0.9711356
