,control0,perturbed0
TSPAN6,-0.6611232,-0.9905547
TNMD,-0.036430903,-0.16736832
DPM1,0.022279823,-0.21561418
SCYL3,0.11050417,0.2251606
C1orf112,-0.010878344,-0.013256407
FGR,0.48839614,1.3234875
CFH,0.74943733,0.7687864
FUCA2,-0.2999462,-0.47048458
GCLC,-0.03583852,-0.33901408
NFYA,-0.24110632,-0.09777783
STPG1,-0.3096418,-0.02182585
NIPAL3,0.0073896493,-0.1453586
LAS1L,-0.25559768,-0.29511884
ENPP4,0.16717552,-0.51956195
SEMA3F,-0.08377417,0.5847482
CFTR,-0.10059548,0.10847876
ANKIB1,0.07588645,0.06925183
CYP51A1,-0.066671416,-0.11053086
KRIT1,0.12587444,0.20965424
RAD52,-0.22625123,-0.41166335
MYH16,-0.16447732,-0.16157068
BAD,-0.26116386,-0.3496589
LAP3,0.7373998,0.8512477
CD99,-0.1347067,-0.02479083
HS3ST1,-0.085267134,0.22963023
AOC1,0.09022591,0.2135225
WNT16,-0.07557313,-0.07654635
HECW1,-0.36004752,-0.48784065
MAD1L1,-0.30327317,-0.13605638
LASP1,-0.14941722,-0.15322708
SNX11,-0.37957633,-0.44853422
TMEM176A,0.3742592,0.6484376
M6PR,-0.33240783,-0.44781625
KLHL13,0.22033721,-0.22647026
CYP26B1,-0.15627469,0.0449699
ICA1,-0.13108446,-0.4590417
DBNDD1,-0.075253524,-0.03183495
ALS2,0.054836623,0.30589673
CASP10,0.07118292,0.42981333
CFLAR,-0.048093125,0.06281542
TFPI,0.54591316,-0.054329634
NDUFAF7,-0.038569547,-0.027411789
RBM5,-0.23123264,-0.25376773
MTMR7,0.11610324,0.17647243
SLC7A2,0.4369312,-0.31448662
ARF5,-0.33014202,-0.43640324
SARM1,-0.31457984,-0.30937892
POLDIP2,-0.09443005,-0.34204718
PLXND1,-0.32650048,-0.44777846
AK2,-0.015723687,0.13332486
CD38,0.48456994,0.27554682
FKBP4,-0.3350158,-0.14683422
KDM1A,-0.05194195,-0.03653902
RBM6,-0.12333665,0.8004435
CAMKK1,-0.18972099,-0.023305595
RECQL,0.000121966434,-0.41618207
VPS50,-0.06654163,-0.23396635
HSPB6,0.06659426,0.97989994
ARHGAP33,-0.38368744,-0.20004165
NDUFAB1,-0.18770199,-0.082709536
PDK4,-0.08284316,-0.23391375
SLC22A16,0.017755829,0.13794196
ZMYND10,0.03099129,0.27455193
ABCB5,0.36134115,0.7033627
ARX,-0.022298273,-0.06392172
SLC25A13,-0.15632406,-0.41344836
ST7,-0.046590533,-0.148702
CDC27,-0.09958213,-0.71234167
SLC4A1,-0.047549173,-0.09406122
CALCR,0.013655415,-0.0011819545
HCCS,-0.23764302,-0.39211148
DVL2,-0.3723357,-0.28118902
UPF1,-0.2623791,-0.2151352
SKAP2,0.022929782,-0.26388812
SLC25A5,-0.3229626,-0.69783866
HOXA11,-0.015524827,-0.037935182
POLR2J,-0.16774796,-0.09902338
DHX33,-0.12077697,-0.19160299
MEOX1,-0.968498,-1.0074532
THSD7A,-0.06467025,0.2939068
LIG3,-0.3678234,-0.6535661
RPAP3,0.03572513,-0.23618181
ACSM3,0.6573745,0.48426807
CIAPIN1,-0.3005579,-0.45150203
SPPL2B,-0.49353617,-0.12389141
COPZ2,0.10172546,0.34250587
MSL3,-0.18633872,-0.33508158
CREBBP,-0.044363864,0.0064058565
TSPOAP1,-0.11302482,0.3498537
MPO,0.011198246,0.1943943
PON1,0.07053077,-0.078575745
GCFC2,-0.079681925,-0.2761802
WDR54,-0.19547997,-0.5965004
CROT,-0.18043497,-0.8499081
ABCB4,1.3690631,0.8604787
KMT2E,-0.051619705,-0.44705513
RHBDD2,-0.29026848,-0.2893207
SOX8,-0.047817886,-0.10844475
ZNF195,-0.25300685,0.28975734
MYCBP2,0.21113451,-0.3961252
FBXL3,0.08303185,-0.39952284
ITGAL,0.37487108,0.9565905
PDK2,-0.13205327,-0.042644717
ITGA3,-0.60841924,0.021164238
ZFX,-0.103179395,-0.31001496
LAMP2,-0.13609956,-0.7673692
ITGA2B,-0.017206289,0.31678087
ASB4,-0.012476934,0.22971483
GDE1,0.087985545,-0.017187193
CRLF1,-1.1829436,-1.1471682
OSBPL7,-0.092062876,0.088731736
TMEM98,-0.1882244,-0.7393583
ABCC8,-0.19431461,-0.12580004
CACNG3,-0.0006974494,0.010979157
TMEM132A,-0.6971587,-0.9842411
AP2B1,-0.041632064,-0.043994226
TAC1,-0.006912402,-0.0054845465
ZNF263,-0.089533456,0.51027024
CX3CL1,-0.51360834,0.04440421
SPATA20,-0.3396697,-0.40012708
CACNA1G,-0.1267572,-0.63099813
TNFRSF12A,-0.87316394,-0.9884826
DLX6,0.013204095,0.03057034
MAP3K9,-0.27764645,0.047394216
RALA,-0.14036044,-0.2712307
BAIAP2L1,-0.33685124,0.21961921
KDM7A,-0.010737205,0.049585387
ETV1,-0.125648,-0.3597037
ALDH3B1,0.022316786,-0.1490452
TTC22,-0.2500338,-0.05054678
PHTF2,0.0031100474,-0.32481548
CCL26,-0.06170603,-0.016353745
FARP2,-0.15249377,0.40205896
USH1C,-0.3986199,-0.15256807
GGCT,-0.052383907,-0.038869586
DBF4,0.19748037,0.6601031
TBXA2R,-0.2840617,0.20421484
IFRD1,-0.17540766,-0.06378374
LGALS14,-0.01963497,-0.035853803
COX10,-0.4065496,-0.45781532
GTF2IRD1,-0.22209288,-0.296069
PAF1,-0.11954442,0.29589835
VPS41,-0.096507624,-0.08389635
ARHGAP44,0.014954485,0.19041729
ELAC2,-0.32109788,-0.59589064
SCIN,0.05288596,0.29676986
ARSD,-0.087185815,-0.028143592
PNPLA4,-0.004935949,-0.20830528
MYH13,-0.0075260797,-0.024756648
CDKL3,0.080112055,0.097201236
UPP2,0.06612007,-0.3582002
MARK4,-0.26840502,-0.0006041229
PROM1,-0.045669094,-0.048466522
CCDC124,-0.2693305,0.15326926
PAFAH1B1,-0.19754617,-0.4631979
NOS2,0.26994556,0.4369563
DNAH9,0.0109906085,0.07380591
SLC13A2,-0.0647369,-0.064360075
GAS7,0.88375574,0.66828513
TRAPPC6A,-0.047682356,0.39465365
MATK,0.35830265,1.2513236
CD79B,0.050200958,0.21233988
SCN4A,0.018828336,0.09989688
ST7L,-0.04082377,0.39911056
TKTL1,0.005530406,0.0092703905
PAX6,-0.25591844,-0.2572227
RPUSD1,-0.4926116,-0.39251485
RHBDF1,-0.2555835,-0.5674275
LUC7L,-0.24511808,0.3219058
CACNA2D2,-0.07160326,0.057757966
BAIAP3,-0.10891968,0.30198362
TSR3,-0.30459532,-0.09196964
PIGQ,-0.48296562,-0.34561545
CRAMP1,-0.25324225,-0.11998695
TEAD3,-0.2264757,0.2482933
SELE,0.3443682,0.1958295
DNAJC11,-0.18693073,0.11515163
FMO3,0.5690132,0.33067766
MYLIP,-0.26660693,-0.8812359
NOX1,0.00084710156,-0.017655345
SYN1,-0.07055506,-0.120531455
JARID2,-0.10134838,-0.21258691
CDKL5,-0.10471672,-0.10627766
CAMK1G,0.15446553,0.17832913
CDK11A,-0.25409684,0.3112125
NADK,-0.24220711,0.073684454
TFAP2B,0.006917056,0.024272528
TFAP2D,-0.0061664134,-0.008197224
DLEC1,-0.15466182,0.9026175
CYTH3,0.18010418,0.29056942
ADAM22,-0.10475566,-0.1410177
SYPL1,-0.25866807,-1.1303055
CYB561,-0.09624461,-0.097162955
SPAG9,-0.19905898,-0.67217934
CELSR3,-0.27454817,-1.1620309
AASS,0.09493595,0.025637813
PLEKHG6,-0.22531644,-0.22926629
SS18L2,-0.013352775,0.33763117
MPND,-0.21374358,0.004036352
MGST1,-0.10996079,-0.10873439
