,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TSPAN6,0.47272742,-0.4964316,-0.20587523,-0.30924007,-0.25424173,-0.13990664,0.30188715,-0.32468593,0.17127167,-0.35656694,-0.20725206,-0.36772045,0.33709145,-0.63206756,-0.34151122,-0.44487607,-0.38987774,-0.27554262,0.16625117,-0.4603219,0.03563568,-0.49220294,-0.34288806,-0.50335646
DPM1,0.15969121,0.19854003,0.1569036,0.009665041,0.20496015,0.03096697,-0.19489765,-0.10706618,0.50408906,0.30650935,0.21975026,0.07695819,0.26053974,0.29938856,0.25775212,0.11051356,0.30580866,0.1318155,-0.09404913,-0.0062176585,0.60493755,0.40735787,0.32059878,0.1778067
SCYL3,0.07945265,-0.01460139,0.06844829,0.103835,-0.044649027,0.0318129,0.24689864,-0.037633866,0.10148438,0.16816899,0.27909726,0.08030759,0.24982366,0.15576962,0.2388193,0.274206,0.12572199,0.2021839,0.41726965,0.13273714,0.27185538,0.33854002,0.44946826,0.2506786
C1orf112,0.18844728,0.09186542,-0.16199163,-0.204133,0.08424271,-0.3423757,-0.01753983,-0.24623007,0.2644041,-0.036069874,0.13156198,0.13141394,0.25240833,0.15582645,-0.0980306,-0.14017197,0.14820373,-0.27841467,0.0464212,-0.18226904,0.32836512,0.027891155,0.19552301,0.19537497
FGR,-0.55652326,0.31662777,-0.28348845,-0.35096344,0.34788308,-0.0025740738,-0.10030888,-0.36683047,0.49230322,-0.17868255,-0.44118732,-0.59201884,-0.8903018,-0.01715082,-0.617267,-0.68474203,0.0141044855,-0.33635268,-0.43408746,-0.7006091,0.15852463,-0.5124611,-0.7749659,-0.92579746
CFH,1.0241609,0.70811194,0.72928965,0.6879805,0.7932942,0.4540533,0.3326989,0.62148076,0.91286546,0.5079988,0.5458511,0.78677994,1.1687843,0.85273534,0.87391305,0.8326039,0.9379176,0.5986767,0.4773223,0.76610416,1.0574889,0.6526222,0.6904745,0.93140334
FUCA2,-0.0341556,0.0025466732,0.11980184,-0.09138159,-0.09248674,0.18561396,0.084713235,-0.06691689,-0.0465557,0.09797977,0.03736854,-0.0052190446,0.1381323,0.17483456,0.29208973,0.08090631,0.07980116,0.35790187,0.25700113,0.105371006,0.1257322,0.27026767,0.20965643,0.16706885
GCLC,0.15595385,0.5155332,0.3215177,0.16393793,0.12259752,0.36647552,0.46976218,0.18866982,0.2413386,0.35086036,0.22406307,0.30932832,0.09288679,0.45246613,0.25845063,0.10087086,0.05953046,0.30340844,0.40669513,0.12560275,0.17827153,0.28779328,0.160996,0.24626125
NFYA,-0.059690107,-0.028126799,-0.093844995,-0.17571135,-0.36472613,-0.091874346,-0.084989384,0.008956635,-0.10334451,-0.40908507,-0.10520272,-0.2750362,-0.214707,-0.1831437,-0.2488619,-0.33072823,-0.519743,-0.24689125,-0.24000628,-0.14606026,-0.2583614,-0.56410193,-0.26021963,-0.43005309
STPG1,-0.18684626,0.009031664,0.12293062,-0.44342232,-0.3070981,-0.15764254,0.12211767,0.07945853,-0.2173419,-0.7092302,0.18403167,-0.650432,-0.2876797,-0.09180179,0.02209717,-0.5442558,-0.40793154,-0.258476,0.021284215,-0.021374926,-0.31817535,-0.81006366,0.08319821,-0.75126547
NIPAL3,-0.91156113,-0.08457885,0.24475601,-0.5981195,-0.11415077,-0.29132062,0.07224488,-0.31044692,-0.9337826,-0.4666246,-0.0033249287,-0.70460093,-0.97100043,-0.14401817,0.18531668,-0.6575588,-0.1735901,-0.35075995,0.012805551,-0.36988625,-0.9932219,-0.5260639,-0.06276426,-0.76404023
LAS1L,-0.33615977,-0.060692206,-0.03216492,-0.16638719,-0.26735216,-0.2855663,-0.08684855,0.20669772,-0.11048398,0.061373893,-0.094134845,-0.3618564,-0.28199345,-0.0065258853,0.0220014,-0.11222087,-0.21318585,-0.23139998,-0.03268223,0.26086405,-0.05631766,0.115540214,-0.039968524,-0.30769008
ENPP4,0.68313664,0.00014066657,0.1508175,0.045174297,0.10068367,0.04405469,0.08296778,-0.06722466,0.58147895,0.06951373,0.27022287,0.23916866,1.1633289,0.48033297,0.6310098,0.5253666,0.580876,0.524247,0.56316006,0.41296765,1.0616713,0.54970604,0.7504152,0.71936095
SEMA3F,-2.0069318,-0.7281297,-0.50787234,-1.1507721,-0.7577314,-1.3674669,-0.4461774,-0.46476284,-1.5013554,-1.0694506,-0.83864474,-1.0621665,-2.059295,-0.78049296,-0.5602356,-1.2031354,-0.81009465,-1.4198302,-0.49854064,-0.5171261,-1.5537187,-1.1218139,-0.891008,-1.1145297
CFTR,0.27963454,-0.10349345,-0.1366936,-0.54273725,-0.19516234,-0.27416795,0.5417601,-0.6628841,-0.5566554,-0.5669742,0.015868647,-0.8356461,1.5853908,1.2022629,1.1690627,0.7630191,1.110594,1.0315883,1.8475164,0.6428722,0.7491009,0.7387821,1.321625,0.47011024
ANKIB1,-0.39253804,0.10776983,0.1283834,-0.5671371,-0.21638279,-0.24739042,0.08579644,-0.37240574,-0.3114746,-0.44306868,-0.111487046,-0.29159033,-0.33439973,0.16590816,0.18652172,-0.5089988,-0.15824446,-0.1892521,0.14393476,-0.31426743,-0.25333628,-0.38493037,-0.053348724,-0.233452
CYP51A1,0.53970844,0.8358878,0.79938567,0.93211234,0.94233096,0.929547,0.99507475,0.48779798,1.1991787,0.9939206,0.9130596,0.94159204,1.0400376,1.3362169,1.2997148,1.4324415,1.4426601,1.4298762,1.495404,0.9881272,1.699508,1.4942498,1.4133887,1.4419212
KRIT1,-0.16554601,0.36678758,-0.03266057,-0.3126081,-0.5083898,-0.071255185,0.31564093,-0.34661448,-0.1752365,-0.33905217,-0.30944562,-0.066719286,-0.16723104,0.36510256,-0.034345593,-0.31429312,-0.5100748,-0.07294021,0.3139559,-0.3482995,-0.17692152,-0.3407372,-0.31113064,-0.06840431
RAD52,-0.4522167,-0.62201387,0.32756552,-0.6181967,0.007555704,0.061228976,0.21577151,-0.4479558,-0.4084049,-0.16803594,-0.18557696,-1.0316417,-0.73412824,-0.9039254,0.04565397,-0.9001083,-0.27435586,-0.22068258,-0.06614004,-0.72986734,-0.69031644,-0.44994748,-0.46748853,-1.3135533
