Node	ZeroAct	UpAct	DownAct	AvgAct	nodesType	pathway
CAMK2A	0	0	100	-100		 ErbB signaling pathway
CAMK2A	0	0	100	-100		 Wnt signaling pathway
CAMK2A	0	0	100	-100		 Neurotrophin signaling pathway
PIK3CA	0	0	100	-100		 ErbB signaling pathway
PIK3CA	0	0	100	-100		 Ras signaling pathway
PIK3CA	0	0	100	-100		 Chemokine signaling pathway
PIK3CA	0	0	100	-100		 FoxO signaling pathway
PIK3CA	0	0	100	-100		 PI3K-Akt signaling pathway
PIK3CA	0	0	100	-100		 Signaling pathways regulating pluripotency of stem cells
PIK3CA	0	0	100	-100		 Jak-STAT signaling pathway
PIK3CA	0	0	100	-100		 TNF signaling pathway
PIK3CA	0	0	100	-100		 Neurotrophin signaling pathway
PIK3CA	0	0	100	-100		 Estrogen signaling pathway
PIK3CA	0	0	100	-100		 Prolactin signaling pathway
RPS6KA1	0	0	100	-100		 MAPK signaling pathway
RPS6KA1	0	0	100	-100		 Neurotrophin signaling pathway
NFKB2	0	100	0	100	M	 MAPK signaling pathway
FOS	0	100	0	100	M	 MAPK signaling pathway
FOS	0	100	0	100	M	 TNF signaling pathway
FOS	0	100	0	100	M	 Estrogen signaling pathway
FOS	0	100	0	100	M	 Prolactin signaling pathway
MAPK3	0	0	100	-100		 MAPK signaling pathway
MAPK3	0	0	100	-100		 ErbB signaling pathway
MAPK3	0	0	100	-100		 Ras signaling pathway
MAPK3	0	0	100	-100		 Chemokine signaling pathway
MAPK3	0	0	100	-100		 FoxO signaling pathway
MAPK3	0	0	100	-100		 PI3K-Akt signaling pathway
MAPK3	0	0	100	-100		 Signaling pathways regulating pluripotency of stem cells
MAPK3	0	0	100	-100		 TNF signaling pathway
MAPK3	0	0	100	-100		 Neurotrophin signaling pathway
MAPK3	0	0	100	-100		 Estrogen signaling pathway
MAPK3	0	0	100	-100		 Prolactin signaling pathway
POU2AF1	0	100	0	100		NA
SIL1	0	0	100	-100		NA
E2F3	0	0	100	-100	M	NA
SUMO1	0	0	100	-100		NA
MAPK14	0	100	0	100		 MAPK signaling pathway
MAPK14	0	100	0	100		 FoxO signaling pathway
MAPK14	0	100	0	100		 Signaling pathways regulating pluripotency of stem cells
MAPK14	0	100	0	100		 TNF signaling pathway
MAPK14	0	100	0	100		 Neurotrophin signaling pathway
MAPK14	0	100	0	100		 Prolactin signaling pathway
CDK10	0	0	100	-100		NA
CTNND1	0	0	100	-100		NA
IRF1	0	100	0	100	M	 Prolactin signaling pathway
JAK2	0	100	0	100		 Chemokine signaling pathway
JAK2	0	100	0	100		 PI3K-Akt signaling pathway
JAK2	0	100	0	100		 Signaling pathways regulating pluripotency of stem cells
JAK2	0	100	0	100		 Jak-STAT signaling pathway
JAK2	0	100	0	100		 Prolactin signaling pathway
TFDP1	0	0	100	-100	M	NA
HIPK2	0	100	0	100		NA
PTPRJ	0	0	100	-100		NA
USF1	0	100	0	100	M	NA
NFYA	0	100	0	100	M	NA
GATA2	0	100	0	100	M	NA
FLI1	0	100	0	100	M	NA
STAT1	0	100	0	100	M	 Chemokine signaling pathway
STAT1	0	100	0	100	M	 Jak-STAT signaling pathway
STAT1	0	100	0	100	M	 Prolactin signaling pathway
