Node1	Sign	Node2
CALM1	-1	TRPC3
MAPK14	1	MAPKAPK2
JAK2	1	EPOR
MAPK14	1	ZFP36
ABL1	1	TP73
ARNTL	1	CRY1
E2F4	-1	RBL1
RBL2	1	E2F5
RBL2	1	E2F4
CDK2	1	MYC
MAPK14	1	MAPKAPK5
CALM1	1	DAPK1
RPS6KA1	1	RPTOR
MAPK3	1	MAP2K1
MAPK3	1	RPS6KA3
RPS6KA1	1	MAPK1
MAPK3	1	DAPK1
RPS6KA1	-1	DAPK1
E2F3	1	CDKN2A
SUMO1	1	PML
JAK2	1	STAT3
HIPK2	1	TP53
STAT1	1	IRF1
GSK3B	-1	GYS1
GSK3B	1	AXIN1
GSK3B	1	LRP6
GSK3B	1	CCND1
GSK3B	1	MYC
HIF1A	1	TP53
ABL1	1	WASL
ABL1	1	YTHDC1
MAPK3	1	MAP2K2
RPS6KA1	-1	TSC2
MAPK3	-1	TSC2
HIF1A	1	EGLN1
HIF1A	1	EGLN3
NLK	1	MYB
NR1D1	-1	ARNTL
TWIST1	-1	CDH1
GSK3B	1	FRAT2
RB1	-1	E2F1
BCL3	1	NFKB2
BCL3	1	NFKB1
CDK2	1	FOXO1
FOXO3	1	BCL2L11
CTNNB1	1	FOXO1
FOXO1	1	G6PC1
CTNNB1	1	FOXO3
GSK3B	-1	CTNNB1
MAPK3	-1	BCL2L11
MAPK3	1	CEBPB
FOXO3	1	FASLG
FOXO3	1	CDKN1B
FOXO3	1	GADD45A
MAPK3	1	RPS6KA5
HSPA5	-1	EIF2AK3
HSPA5	-1	ERN1
HSPA5	-1	ATF6
JAK2	1	GHR
JAK2	1	LEPR
CREB1	1	CREBBP
STAT1	-1	CREBBP
JAK2	1	H3C8
HIF1A	1	BNIP3
FOXO1	1	AR
FOXO1	1	IGFBP1
CTNNB1	1	EP300
CTNNB1	1	TCF7L2
ESR1	-1	FOXO1
NLK	-1	TCF7L2
PRKCQ	1	CARD11
MYC	-1	CDKN1A
MAPK3	1	HIF1A
GSK3B	1	GLI3
E2F4	-1	MYBL2
CDK2	-1	CDKN1A
CCNH	1	CDK7
FOXM1	1	CCNB1
FOXM1	1	CDC25B
CDK2	-1	RB1
HIPK2	1	CTBP1
ABL1	1	YAP1
STAT3	-1	PTPN2
ABL1	1	PRKCD
MAPK14	1	DUSP1
MAPK14	1	FOS
MAPK14	-1	EGFR
MAPK14	1	USF1
MAPK14	-1	CDC25B
CSNK2A1	1	CDK1
STAT3	1	SRC
HIPK2	1	PML
TP73	1	BBC3
MYC	1	CDKN2A
SP1	1	CDKN1A
GSK3B	-1	HSF1
GSK3B	1	DPYSL2
GSK3B	1	MAPT
SUMO1	1	SMAD4
RELA	1	CREBBP
ABL1	1	RAD51
ABL1	1	PSMA7
ABL1	1	PRKD1
ABL1	-1	PLCG1
ABL1	1	PLSCR1
ABL1	1	PDGFRB
ABL1	-1	MDM4
ABL1	1	NFKBIA
ABL1	1	MUC1
ABL1	1	NCK1
ABL1	1	JAK2
ABL1	1	MDM2
ABL1	1	ESR1
ABL1	1	RACK1
ABL1	1	EGFR
ABL1	1	DNM2
ABL1	1	CTTN
PRKCD	1	ELAVL1
ABL1	1	CBL
ESR1	1	PGR
ABL1	1	CAV1
ABL1	1	CRKL
ABL1	1	CTNNB1
ABL1	1	WASF2
ABL1	1	WASF3
ABL1	1	SOS1
ABL1	1	SORBS2
ABL1	1	SHC1
ABL1	1	ROBO1
ABL1	1	RAD9A
ABL1	1	PXN
ABL1	1	RAPGEF1
ABL1	1	PTPN6
CDK2	-1	CCNE1
GSK3B	-1	CCNE1
ESR1	1	CCND1
ESR1	1	XBP1
SMAD3	-1	TGFBR1
HSP90AA1	1	AKT1
HSP90AA1	1	RAF1
HSP90AA1	1	SRC
ESR1	1	RARA
MAPK14	1	MAPK1
MAPK14	-1	MAPK3
MAPK3	1	RAF1
MAPK3	1	RPS6KA1
RPS6KA1	-1	BAD
STAT5A	1	BCL2L1
MAPK3	-1	BRAF
ABL1	1	CASP9
ABL1	1	CAT
ABL1	1	APBB1
ABL1	1	BCAR1
ABL1	1	BCR
ABL1	1	CDK5
ABL1	1	ABL2
ABL1	1	ABI1
ABL1	1	SRC
SPI1	-1	GATA1
GSK3B	1	AKT1
GSK3B	-1	VDAC1
NFE2L2	-1	KEAP1
MAPK3	1	STAT3
RB1	-1	E2F3
RB1	-1	E2F2
CDK2	1	CDC25A
MYC	1	CDC25A
NFE2L2	1	GCLM
ATF2	1	ATF3
NFE2L2	1	HMOX1
MYC	1	CCND2
MYC	1	CDK4
EGR1	1	TP53
MAPK14	1	DDIT3
CTNNB1	1	LEF1
ATF2	1	JUN
CTNNB1	1	CDH1
CTNNB1	1	TCF7
ABL1	1	CRK
MYC	-1	ZBTB17
RELA	1	NFKBIB
ARNTL	-1	CLOCK
STAT1	1	IRF9
STAT2	1	IRF9
MAPK3	1	SOS1
JAK2	1	PTPN11
SMAD3	1	NOTCH1
MAPK14	1	ATF2
MAPK3	1	ELK1
RPS6KA1	1	FOS
STAT5A	-1	JAK3
JAK2	1	IRS1
ATF2	1	MAPK8
MAPK14	1	ELK1
MAPK3	1	ELK4
MAPK14	1	MEF2C
MAPK3	1	SMAD1
MAPK3	1	RPS6KA4
MAPK3	1	DUSP6
MAPK14	1	MAPKAPK3
MAPK3	1	SMAD3
MAPK3	1	SMAD2
SMAD3	1	LEF1
JAK2	1	STAT5B
CTNNB1	1	AXIN2
JAK2	1	IFNGR1
CTNNB1	1	PITX2
HIPK2	1	SKI
SMAD3	1	SMAD4
JAK2	1	STAT1
MAPK3	-1	ARRB1
CTNNB1	1	SMAD7
JAK2	1	STAT5A
JAK2	1	IFNGR2
MAPK14	-1	TAB1
MAPK3	1	STAT5A
GSK3B	1	SMAD3
MAPK3	1	MYC
MAPK9	1	CTNNB1
PDGFRB	1	PDGFRA
PDGFRB	1	SHC1
PDGFB	1	PDGFRA
ABL1	1	MTOR
RARA	1	RXRA
RARA	1	RXRB
PPARG	1	RXRA
PPARG	1	RXRB
ESR1	1	NR0B2
ESR1	1	AR
RARA	1	RXRG
PPARG	1	RXRG
ESR1	1	ESR2
JAK2	1	STAT6
GSK3B	1	SUFU
MAPK14	1	CREB1
MAPK14	-1	DUSP16
MAPK14	1	MAX
GSK3B	1	JUN
MAPK3	1	TAL1
MAPK14	1	MKNK2
MAPK3	1	MKNK2
MAPK3	1	MKNK1
MAPK14	1	MKNK1
CTNNB1	1	TCF4
MAPK14	1	RPS6KA4
MAPK3	1	DUSP1
SMAD3	1	JUN
MAPK14	1	ELK3
CTNNB1	1	TCF3
SMAD3	1	AR
DUSP10	1	MAPK8
MAP4K3	1	MAP3K1
RPS6KA1	1	GSK3B
MAPK3	1	ETS1
SMAD3	1	MAX
MAPK14	1	SMAD3
HIPK2	1	DAXX
CTNNB1	1	HNF1A
MAPK9	1	MAPK8IP3
GSK3B	1	MARK2
JAK2	1	STAT4
MAPK14	1	STAT4
MAPK14	1	STAT3
STAT3	1	MAPK8
MAPK14	1	STAT1
GSK3B	1	SMAD1
STAT3	1	PTPN11
NLK	1	LEF1
CSNK2A1	1	LEF1
PDGFRB	1	PLCG1
PDGFRB	1	PTPN11
PDGFRB	1	NCK1
PDGFRB	1	RASA1
PDGFRB	1	CRK
RB1	1	ABL1
ABL1	1	NEDD9
ABL1	1	GRAP
ABL1	1	VAV1
PDGFRB	1	NCK2
VDR	1	RXRA
VDR	1	RXRB
VDR	1	RXRG
ESR1	1	NCOA2
ESR1	1	NRIP1
RARA	1	NRIP1
PRKCD	1	NCF1
MAPK3	1	FOS
GSK3B	-1	NFATC2
CALM1	1	MYLK
