Node	ZeroAct	UpAct	DownAct	AvgAct	nodesType
CAV1	100	0	0	0	
SRC	100	0	0	0	
TSC1	100	0	0	0	
CCL17	100	0	0	0	
CCL22	100	0	0	0	
DEFB4B	100	0	0	0	
CCL20	100	0	0	0	
CCL1	100	0	0	0	
TNFSF8	100	0	0	0	
RARRES2	100	0	0	0	
CLCF1	100	0	0	0	
CRH	100	0	0	0	
UCN	100	0	0	0	
ATG7	100	0	0	0	
UCN2	100	0	0	0	
UCN3	100	0	0	0	
CXCL6	100	0	0	0	
CXCL8	100	0	0	0	
CXCL1	100	0	0	0	
CXCL2	100	0	0	0	
CXCR2	100	0	0	0	
CXCL3	100	0	0	0	
CXCL5	100	0	0	0	
PPBP	100	0	0	0	
RHOA	100	0	0	0	
CXCL13	100	0	0	0	
CX3CL1	100	0	0	0	
TNFSF15	100	0	0	0	
POMC	100	0	0	0	
EDA	100	0	0	0	
EPGN	100	0	0	0	
EREG	100	0	0	0	
EDN1	100	0	0	0	
EDN2	100	0	0	0	
EDN3	100	0	0	0	
PMAIP1	100	0	0	0	
FGF19	100	0	0	0	
VEGFA	100	0	0	0	
VEGFC	100	0	0	0	
VEGFD	100	0	0	0	
ANXA1	100	0	0	0	
SAA1	100	0	0	0	
CGA	100	0	0	0	
FSHB	100	0	0	0	
WNT4	100	0	0	0	
GAL	100	0	0	0	
ATG12	100	0	0	0	
SPX	100	0	0	0	
GDF15	100	0	0	0	
GHRL	100	0	0	0	
GHRH	100	0	0	0	
GIP	100	0	0	0	
GCG	100	0	0	0	
TNFSF18	100	0	0	0	
GNRH2	100	0	0	0	
GDF9	100	0	0	0	
GH2	100	0	0	0	
MAP1LC3B	100	0	0	0	
NPPA	100	0	0	0	
NPPB	100	0	0	0	
NPPC	100	0	0	0	
GUCA2A	100	0	0	0	
TNFRSF14	100	0	0	0	
RSPO1	100	0	0	0	
RSPO2	100	0	0	0	
RSPO3	100	0	0	0	
RSPO4	100	0	0	0	
PENK	100	0	0	0	
ATG3	100	0	0	0	
IFNA2	100	0	0	0	
IFNW1	100	0	0	0	
IL12B	100	0	0	0	
IL17A	100	0	0	0	
IL17RA	100	0	0	0	
IL17F	100	0	0	0	
IL18	100	0	0	0	
IL1RN	100	0	0	0	
IL17B	100	0	0	0	
IL25	100	0	0	0	
CAMKK2	100	0	0	0	
IL2RA	100	0	0	0	
IL2RB	100	0	0	0	
IL33	100	0	0	0	
IL1RL1	100	0	0	0	
IL36RN	100	0	0	0	
PDYN	100	0	0	0	
KISS1	100	0	0	0	
CGB8	100	0	0	0	
LHB	100	0	0	0	
PMCH	100	0	0	0	
