Node1	Sign	Node2	Weight
CALM1	-1	TRPC3	100
ESR1	1	XBP1	100
ESR1	1	RARA	100
MAPK14	1	MAPK1	100
RPS6KA1	-1	BAD	100
STAT5A	1	BCL2L1	100
MAPK3	-1	BRAF	100
ABL1	1	CASP9	100
ABL1	1	CAT	100
ABL1	1	APBB1	100
ABL1	1	BCAR1	100
ABL1	1	BCR	100
ABL1	1	CDK5	100
ABL1	1	ABL2	100
ABL1	1	ABI1	100
ABL1	1	SRC	100
SPI1	-1	GATA1	100
GSK3B	-1	VDAC1	100
CDK2	1	CDC25A	100
MYC	1	CDC25A	100
NFE2L2	1	GCLM	100
ATF2	1	ATF3	100
NFE2L2	1	HMOX1	100
MYC	1	CCND2	100
MYC	1	CDK4	100
EGR1	1	TP53	100
MAPK14	1	DDIT3	100
CTNNB1	1	LEF1	100
ATF2	1	JUN	100
CTNNB1	1	CDH1	100
CTNNB1	1	TCF7	100
ABL1	1	CRK	100
RELA	1	NFKBIB	100
STAT1	1	IRF9	100
STAT2	1	IRF9	100
JAK2	1	PTPN11	100
SMAD3	1	NOTCH1	100
MAPK14	1	ATF2	100
JAK2	1	IRS1	100
ATF2	1	MAPK8	100
MAPK14	1	ELK1	100
MAPK14	1	MEF2C	100
MAPK14	1	MAPKAPK3	100
SMAD3	1	LEF1	100
JAK2	1	STAT5B	100
CTNNB1	1	AXIN2	100
JAK2	1	IFNGR1	100
CTNNB1	1	PITX2	100
HIPK2	1	SKI	100
SMAD3	1	SMAD4	100
JAK2	1	STAT1	100
MAPK3	-1	ARRB1	100
CTNNB1	1	SMAD7	100
JAK2	1	STAT5A	100
JAK2	1	IFNGR2	100
MAPK9	1	CTNNB1	100
ABL1	1	MTOR	100
MAPK14	1	MAPKAPK2	100
RARA	1	RXRA	100
RARA	1	RXRB	100
PPARG	1	RXRA	100
PPARG	1	RXRB	100
ESR1	1	NR0B2	100
ESR1	1	AR	100
RARA	1	RXRG	100
PPARG	1	RXRG	100
ESR1	1	ESR2	100
JAK2	1	STAT6	100
MAPK14	1	CREB1	100
MAPK14	1	MAX	100
RPS6KA1	-1	DAPK1	100
MAPK14	1	MKNK2	100
MAPK14	1	MKNK1	100
CTNNB1	1	TCF4	100
MAPK14	1	RPS6KA4	100
SMAD3	1	JUN	100
MAPK14	1	ELK3	100
CTNNB1	1	TCF3	100
SMAD3	1	AR	100
MAP4K3	1	MAP3K1	100
SMAD3	1	MAX	100
MAPK14	1	SMAD3	100
HIPK2	1	DAXX	100
CTNNB1	1	HNF1A	100
MAPK9	1	MAPK8IP3	100
JAK2	1	STAT4	100
JAK2	1	EPOR	100
MAPK14	1	STAT4	100
MAPK14	1	STAT3	100
STAT3	1	MAPK8	100
MAPK14	1	STAT1	100
STAT3	1	PTPN11	100
NLK	1	LEF1	100
CSNK2A1	1	LEF1	100
RB1	1	ABL1	100
ABL1	1	NEDD9	100
ABL1	1	GRAP	100
ABL1	1	VAV1	100
VDR	1	RXRA	100
VDR	1	RXRB	100
VDR	1	RXRG	100
ESR1	1	NCOA2	100
ESR1	1	NRIP1	100
RARA	1	NRIP1	100
MAPK14	1	ZFP36	100
JAK2	1	STAT3	100
GSK3B	-1	NFATC2	100
HIPK2	1	TP53	100
STAT1	1	IRF1	100
ABL1	1	GRB2	100
MAPK14	1	RPS6KA5	100
RPS6KA1	-1	EEF2K	100
DUSP10	-1	MAPK14	100
ABL1	1	DOK1	100
MAPK14	1	JUN	100
CALM1	-1	GRM7	100
GSK3B	-1	GYS1	100
GSK3B	-1	NFE2L2	100
MAPK14	1	CSNK2A1	100
MAPK14	1	CSNK2B	100
RELA	1	NFKB1	100
NFKB2	1	RELB	100
FOS	1	JUN	100
STAT2	1	STAT1	100
MAPK14	1	ZNHIT1	100
MAPK14	1	ESR1	100
MAPK14	1	NR3C1	100
MAPK14	1	TP53	100
MAPK14	1	KRT8	100
MAPK14	1	RB1	100
MAPK14	1	JUNB	100
MAPK14	1	SLC9A1	100
MAPK14	1	PLA2G4A	100
MAPK14	1	MEF2A	100
MAPK14	1	MEF2D	100
MAPK14	1	NFATC4	100
MAPK14	1	ELAVL1	100
MAPK14	1	EZH2	100
MAPK14	1	NCOA3	100
POU2AF1	1	POU2F1	100
MAP4K3	1	PRKCQ	100
MAPK14	1	DUSP9	100
HIPK2	1	MECP2	100
NLK	1	STAT3	100
GSK3B	-1	AKAP11	100
MAPK9	1	MAPK8IP1	100
CAMK2A	-1	SLN	100
CAMK2A	-1	GFAP	100
CAMK2A	-1	ETS1	100
HIF1A	1	TP53	100
ABL1	1	WASL	100
ABL1	1	YTHDC1	100
CDK10	-1	ETS2	100
MAPK9	1	BCL2L11	100
RELA	1	SP1	100
CDK2	1	MYBL2	100
CDK2	1	SF3B1	100
