"Pathway","contrast","score","p_value","condition"
"Androgen","Beta vs T2D",-1.41987155757259,0.155645077683651,"Beta"
"Androgen","BetaDMSO vs T2D",0.566782089488715,0.570862240549673,"BetaDMSO"
"Androgen","BetaM vs T2D",0.311602901761297,0.755342328683259,"BetaM"
"Androgen","AlphaBeta vs T2D",-2.44708528622868,0.0144016756075239,"AlphaBeta"
"EGFR","Beta vs T2D",0.488456604650483,0.625226456214243,"Beta"
"EGFR","BetaDMSO vs T2D",4.27768485597463,1.88847117953136e-05,"BetaDMSO"
"EGFR","BetaM vs T2D",2.32496014061829,0.0200740916458328,"BetaM"
"EGFR","AlphaBeta vs T2D",1.83761619712539,0.0661189803800174,"AlphaBeta"
"Estrogen","Beta vs T2D",0.248842558934575,0.803482569062804,"Beta"
"Estrogen","BetaDMSO vs T2D",-1.54854563362769,0.12149098373992,"BetaDMSO"
"Estrogen","BetaM vs T2D",-1.08124629879389,0.279587568085684,"BetaM"
"Estrogen","AlphaBeta vs T2D",-0.541424742539875,0.588214856885628,"AlphaBeta"
"Hypoxia","Beta vs T2D",-1.8587623432974,0.0630608322647611,"Beta"
"Hypoxia","BetaDMSO vs T2D",-1.84775607597956,0.0646376377462311,"BetaDMSO"
"Hypoxia","BetaM vs T2D",-1.92401195532575,0.0543530849359977,"BetaM"
"Hypoxia","AlphaBeta vs T2D",-1.41446408448342,0.157225685491674,"AlphaBeta"
"JAK-STAT","Beta vs T2D",-10.9679086873593,5.45187899292468e-28,"Beta"
"JAK-STAT","BetaDMSO vs T2D",-11.1006387904363,1.24550483456137e-28,"BetaDMSO"
"JAK-STAT","BetaM vs T2D",-10.2090720440244,1.80583567245829e-24,"BetaM"
"JAK-STAT","AlphaBeta vs T2D",11.8042328308211,3.71160652338059e-32,"AlphaBeta"
"MAPK","Beta vs T2D",3.64142233465453,0.000271135923508013,"Beta"
"MAPK","BetaDMSO vs T2D",0.923906077471884,0.355535218581489,"BetaDMSO"
"MAPK","BetaM vs T2D",3.09074311018986,0.00199656286731756,"BetaM"
"MAPK","AlphaBeta vs T2D",4.6770459126287,2.91037113394179e-06,"AlphaBeta"
"NFkB","Beta vs T2D",-0.0251585354938834,0.97992851036063,"Beta"
"NFkB","BetaDMSO vs T2D",0.246823336052676,0.805044949576444,"BetaDMSO"
"NFkB","BetaM vs T2D",-0.399333912452792,0.689647182414352,"BetaM"
"NFkB","AlphaBeta vs T2D",-1.98406399023969,0.047248706818661,"AlphaBeta"
"p53","Beta vs T2D",-1.08132088471616,0.279554400491369,"Beta"
"p53","BetaDMSO vs T2D",-1.67490024635108,0.0939538052929422,"BetaDMSO"
"p53","BetaM vs T2D",-0.821395131466586,0.411421235800073,"BetaM"
"p53","AlphaBeta vs T2D",0.3724787801297,0.709536408242412,"AlphaBeta"
"PI3K","Beta vs T2D",-1.05205530775035,0.292774175235346,"Beta"
"PI3K","BetaDMSO vs T2D",-3.56495841290382,0.00036391388611982,"BetaDMSO"
"PI3K","BetaM vs T2D",-2.59064134051742,0.00957972738654609,"BetaM"
"PI3K","AlphaBeta vs T2D",-2.8028019558316,0.00506607677578218,"AlphaBeta"
"TGFb","Beta vs T2D",16.1751984756971,7.5454212386439e-59,"Beta"
"TGFb","BetaDMSO vs T2D",15.8782506746363,8.96437700354077e-57,"BetaDMSO"
"TGFb","BetaM vs T2D",17.1874180994921,3.29900113431709e-66,"BetaM"
"TGFb","AlphaBeta vs T2D",14.6860336282555,7.92169688050032e-49,"AlphaBeta"
"TNFa","Beta vs T2D",1.46662108413992,0.142479161209463,"Beta"
"TNFa","BetaDMSO vs T2D",-0.693306025398418,0.488117522545596,"BetaDMSO"
"TNFa","BetaM vs T2D",-0.357819880172693,0.720478112068536,"BetaM"
"TNFa","AlphaBeta vs T2D",2.91683216494133,0.00353605988906969,"AlphaBeta"
"Trail","Beta vs T2D",-1.28970382187655,0.197153512120943,"Beta"
"Trail","BetaDMSO vs T2D",-2.78808107795501,0.00530212722922656,"BetaDMSO"
"Trail","BetaM vs T2D",-1.95451001152767,0.0506409320453262,"BetaM"
"Trail","AlphaBeta vs T2D",-1.96504140193851,0.0494094458549786,"AlphaBeta"
"VEGF","Beta vs T2D",1.11302296033133,0.265698568569959,"Beta"
"VEGF","BetaDMSO vs T2D",3.8923027740386,9.92972142476431e-05,"BetaDMSO"
"VEGF","BetaM vs T2D",3.80005554303308,0.000144663660037028,"BetaM"
"VEGF","AlphaBeta vs T2D",1.97784051072808,0.0479467017865546,"AlphaBeta"
"WNT","Beta vs T2D",-4.10665334000877,4.01433002839864e-05,"Beta"
"WNT","BetaDMSO vs T2D",-4.89221360264386,9.97081456043656e-07,"BetaDMSO"
"WNT","BetaM vs T2D",-4.03985607313853,5.3484012311293e-05,"BetaM"
"WNT","AlphaBeta vs T2D",-3.11904654343142,0.00181437298170535,"AlphaBeta"
