"Hallmark","contrast","NES","padj","condition"
"Tnfa signaling via nfkb","Beta vs T2D",1.82280545518302,0.00215703192407248,"Beta"
"Tnfa signaling via nfkb","BetaDMSO vs T2D",1.71102021223987,0.00206100577081616,"BetaDMSO"
"Tnfa signaling via nfkb","BetaM vs T2D",1.63880588415793,0.00226942628903413,"BetaM"
"Tnfa signaling via nfkb","AlphaBeta vs T2D",1.8626496359655,0.00274514110025255,"AlphaBeta"
"Hypoxia","Beta vs T2D",-1.12404865127867,0.287043725215464,"Beta"
"Hypoxia","BetaDMSO vs T2D",-1.20896418878788,0.140999867620212,"BetaDMSO"
"Hypoxia","BetaM vs T2D",-1.23543020176666,0.127024890665396,"BetaM"
"Hypoxia","AlphaBeta vs T2D",-1.15878612026146,0.231348247061382,"AlphaBeta"
"Cholesterol homeostasis","Beta vs T2D",-1.73186783679952,0.000594021764957468,"Beta"
"Cholesterol homeostasis","BetaDMSO vs T2D",-1.74411293343397,0.00140441548227628,"BetaDMSO"
"Cholesterol homeostasis","BetaM vs T2D",-1.64890069454504,0.00419820316904365,"BetaM"
"Cholesterol homeostasis","AlphaBeta vs T2D",-1.76646345141319,0.00274514110025255,"AlphaBeta"
"Mitotic spindle","Beta vs T2D",1.37559955910018,0.00392187622558632,"Beta"
"Mitotic spindle","BetaDMSO vs T2D",1.24785252040611,0.0542904096724968,"BetaDMSO"
"Mitotic spindle","BetaM vs T2D",1.3660340678544,0.0136165577342048,"BetaM"
"Mitotic spindle","AlphaBeta vs T2D",1.21311632180369,0.0728882292136023,"AlphaBeta"
"Wnt beta catenin signaling","Beta vs T2D",1.79164038817188,0.00317778095555873,"Beta"
"Wnt beta catenin signaling","BetaDMSO vs T2D",1.78646190700982,0.00193753390684337,"BetaDMSO"
"Wnt beta catenin signaling","BetaM vs T2D",1.83363023598285,0.00246710526315789,"BetaM"
"Wnt beta catenin signaling","AlphaBeta vs T2D",1.70125858569838,0.00723007712082262,"AlphaBeta"
"Tgf beta signaling","Beta vs T2D",2.07524630114303,0.00125707102451289,"Beta"
"Tgf beta signaling","BetaDMSO vs T2D",2.06229472021216,0.00140441548227628,"BetaDMSO"
"Tgf beta signaling","BetaM vs T2D",2.03233703537289,0.00149235912129895,"BetaM"
"Tgf beta signaling","AlphaBeta vs T2D",1.55548075920639,0.0163224121557455,"AlphaBeta"
"Il6 jak stat3 signaling","Beta vs T2D",-1.36044836710368,0.0860446865042219,"Beta"
"Il6 jak stat3 signaling","BetaDMSO vs T2D",-1.51518080750638,0.0170285227756492,"BetaDMSO"
"Il6 jak stat3 signaling","BetaM vs T2D",-1.43462407729494,0.0440406983664472,"BetaM"
"Il6 jak stat3 signaling","AlphaBeta vs T2D",-1.15938194086645,0.277703754610864,"AlphaBeta"
"Dna repair","Beta vs T2D",0.894389182090549,0.794019933554817,"Beta"
"Dna repair","BetaDMSO vs T2D",0.8073017423628,0.966821499668215,"BetaDMSO"
"Dna repair","BetaM vs T2D",0.790096513775326,0.987317691819911,"BetaM"
"Dna repair","AlphaBeta vs T2D",1.00329088879595,0.537860576923077,"AlphaBeta"
"G2m checkpoint","Beta vs T2D",-1.01219928106743,0.497317401083091,"Beta"
"G2m checkpoint","BetaDMSO vs T2D",-1.21617279059186,0.13431674070699,"BetaDMSO"
"G2m checkpoint","BetaM vs T2D",-0.991308989076995,0.534377986994656,"BetaM"
"G2m checkpoint","AlphaBeta vs T2D",0.907607010842454,0.832541191381496,"AlphaBeta"
"Apoptosis","Beta vs T2D",1.21267481667434,0.0969497240956469,"Beta"
"Apoptosis","BetaDMSO vs T2D",1.20582184911724,0.0909332860184528,"BetaDMSO"
"Apoptosis","BetaM vs T2D",-1.00471420823992,0.532643745435947,"BetaM"
"Apoptosis","AlphaBeta vs T2D",1.36803594864137,0.0163224121557455,"AlphaBeta"
"Notch signaling","Beta vs T2D",0.879130317537264,0.683775382812301,"Beta"
"Notch signaling","BetaDMSO vs T2D",1.09620353706793,0.338119340288538,"BetaDMSO"
"Notch signaling","BetaM vs T2D",0.947970135797306,0.557945853462158,"BetaM"
"Notch signaling","AlphaBeta vs T2D",-0.972915604171122,0.617548800657154,"AlphaBeta"
"Adipogenesis","Beta vs T2D",-1.91924267793268,0.000594021764957468,"Beta"
"Adipogenesis","BetaDMSO vs T2D",-1.8986249426605,0.000615460364352536,"BetaDMSO"
"Adipogenesis","BetaM vs T2D",-1.81016488358046,0.000634115409004439,"BetaM"
"Adipogenesis","AlphaBeta vs T2D",-1.94487263954919,0.000789340742611771,"AlphaBeta"
"Estrogen response early","Beta vs T2D",-1.26822513915848,0.0969497240956469,"Beta"
"Estrogen response early","BetaDMSO vs T2D",-1.30491326319662,0.0593311758360302,"BetaDMSO"
"Estrogen response early","BetaM vs T2D",-1.27836794800598,0.0905570110490944,"BetaM"
"Estrogen response early","AlphaBeta vs T2D",-1.32143531700778,0.0507737341511947,"AlphaBeta"
"Estrogen response late","Beta vs T2D",-1.43711917854691,0.010841230183956,"Beta"
"Estrogen response late","BetaDMSO vs T2D",-1.51827746003668,0.00271457345907238,"BetaDMSO"
"Estrogen response late","BetaM vs T2D",-1.49238166022159,0.00325377845022532,"BetaM"
